,hr,rr
1605962164.5148,84.0,726.0
1605962165.5344,84.0,294.0
1605962166.4945,84.0,695.0
1605962167.5449,84.0,703.0
1605962168.5048,85.0,729.0
1605962169.4945,84.0,773.0
1605962170.5444,84.0,797.0
1605962171.5343,83.0,811.0
1605962172.5902,81.0,837.0
1605962173.5145,81.0,838.0
1605962174.5042,80.0,796.0
1605962175.4943,79.0,774.0
1605962176.5142,79.0,762.0
1605962177.6529,79.0,768.0
1605962178.4943,80.0,753.0
1605962179.5143,80.0,770.0
1605962180.5042,80.0,781.0
1605962181.5756,80.0,785.0
1605962182.5143,79.0,783.0
1605962183.5041,79.0,790.0
1605962184.4941,79.0,781.0
1605962185.514,79.0,761.0
1605962186.6239,79.0,768.0
1605962187.4942,79.0,790.0
1605962188.5141,79.0,803.0
1605962189.5041,79.0,814.0
1605962190.5234,78.0,854.0
1605962191.5144,78.0,853.0
1605962192.5041,77.0,819.0
1605962193.494,77.0,796.0
1605962194.5139,77.0,786.0
1605962195.5838,77.0,773.0
1605962196.4941,77.0,777.0
1605962197.5141,77.0,839.0
1605962198.5039,77.0,854.0
1605962199.4939,77.0,882.0
1605962200.5937,76.0,891.0
1605962201.5038,75.0,895.0
1605962202.5239,74.0,863.0
1605962203.5438,74.0,798.0
1605962204.5837,74.0,782.0
1605962205.5541,75.0,763.0
1605962206.514,76.0,785.0
1605962207.5038,76.0,807.0
1605962208.4937,76.0,805.0
1605962209.594,76.0,812.0
1605962210.5041,76.0,821.0
1605962211.4937,76.0,802.0
1605962212.5137,76.0,780.0
1605962213.524,77.0,761.0
1605962214.494,77.0,742.0
1605962215.5136,78.0,727.0
1605962216.5037,79.0,733.0
1605962217.4936,80.0,731.0
1605962218.5984,80.0,737.0
1605962219.504,81.0,744.0
1605962220.4935,81.0,717.0
1605962222.1267,82.0,714.0
1605962222.7056,82.0,705.0
1605962223.9913,83.0,690.0
1605962224.5158,84.0,691.0
1605962225.7367,84.0,725.0
1605962226.5815,84.0,753.0
1605962227.7076,84.0,750.0
1605962228.5059,84.0,745.0
1605962229.4961,84.0,741.0
1605962230.5456,84.0,712.0
1605962231.5244,84.0,716.0
1605962232.6306,84.0,745.0
1605962233.515,84.0,762.0
1605962234.5052,84.0,768.0
1605962235.5415,83.0,793.0
1605962236.5675,82.0,808.0
1605962237.6431,81.0,796.0
1605962238.526,81.0,794.0
1605962239.5151,80.0,774.0
1605962240.5051,80.0,756.0
1605962241.6348,80.0,760.0
1605962242.5151,80.0,792.0
1605962243.5051,80.0,805.0
1605962244.495,80.0,806.0
1605962245.5719,79.0,814.0
1605962246.6483,79.0,793.0
1605962247.4951,79.0,764.0
1605962248.5149,79.0,726.0
1605962249.5046,80.0,706.0
1605962250.5738,81.0,705.0
1605962251.515,81.0,699.0
1605962252.505,83.0,716.0
1605962253.4949,83.0,761.0
1605962254.5149,82.0,769.0
1605962255.6734,82.0,794.0
1605962256.495,81.0,777.0
1605962257.5146,81.0,768.0
1605962258.505,81.0,755.0
1605962259.5718,81.0,750.0
1605962260.6926,81.0,773.0
1605962261.5357,81.0,812.0
1605962262.4946,80.0,818.0
1605962263.5149,79.0,831.0
1605962264.6112,79.0,836.0
1605962265.4945,78.0,828.0
1605962266.5147,78.0,802.0
1605962267.5046,78.0,769.0
1605962268.5723,78.0,775.0
1605962269.6558,78.0,748.0
1605962270.5345,79.0,788.0
1605962271.5245,79.0,817.0
1605962272.5144,79.0,811.0
1605962273.5912,78.0,837.0
1605962274.4945,77.0,809.0
1605962275.5145,77.0,803.0
1605962276.5087,77.0,797.0
1605962277.5097,77.0,784.0
1605962278.6547,77.0,781.0
1605962279.5044,77.0,787.0
1605962280.4944,78.0,774.0
1605962281.5142,78.0,785.0
1605962282.5498,78.0,803.0
1605962283.4944,78.0,810.0
1605962284.5144,77.0,800.0
1605962285.5041,77.0,787.0
1605962286.4943,77.0,778.0
1605962287.6222,78.0,777.0
1605962288.5044,78.0,765.0
1605962289.4941,78.0,764.0
1605962290.5143,78.0,757.0
1605962291.5274,79.0,780.0
1605962292.6623,79.0,799.0
1605962293.5141,79.0,807.0
1605962294.5041,78.0,807.0
1605962295.4942,78.0,796.0
1605962296.6025,78.0,785.0
1605962297.5039,78.0,766.0
1605962298.4941,78.0,756.0
1605962299.5141,79.0,744.0
1605962300.5041,79.0,744.0
1605962301.603,80.0,755.0
1605962302.5442,80.0,745.0
1605962303.534,80.0,747.0
1605962304.524,81.0,751.0
1605962305.5643,81.0,734.0
1605962306.504,81.0,719.0
1605962307.4939,82.0,722.0
1605962308.515,82.0,719.0
1605962309.5237,83.0,719.0
1605962310.6029,83.0,745.0
1605962311.5142,83.0,742.0
1605962312.5039,83.0,743.0
1605962313.4937,83.0,745.0
1605962314.5362,83.0,737.0
1605962315.5039,83.0,716.0
1605962316.4941,84.0,715.0
1605962317.5141,84.0,716.0
1605962318.5037,84.0,727.0
1605962319.6052,84.0,755.0
1605962320.5139,84.0,772.0
1605962321.5034,83.0,775.0
1605962322.4921,82.0,792.0
1605962323.5117,82.0,766.0
1605962324.6132,81.0,722.0
1605962325.4918,82.0,721.0
1605962326.5118,82.0,736.0
1605962327.5017,83.0,738.0
1605962328.5412,83.0,718.0
1605962329.5121,83.0,708.0
1605962330.5019,84.0,709.0
1605962331.4918,84.0,718.0
1605962332.5117,84.0,734.0
1605962333.5827,84.0,755.0
1605962334.4918,84.0,748.0
1605962335.5418,83.0,740.0
1605962336.5316,83.0,741.0
1605962337.5216,83.0,756.0
1605962338.5896,83.0,776.0
1605962339.5015,82.0,798.0
1605962340.4915,82.0,808.0
1605962341.5114,81.0,831.0
1605962342.5813,80.0,825.0
1605962343.4916,80.0,810.0
1605962344.5114,79.0,803.0
1605962345.5314,79.0,781.0
1605962346.4914,79.0,778.0
1605962347.5909,79.0,770.0
1605962348.5016,79.0,756.0
1605962349.4914,79.0,754.0
1605962350.5113,79.0,772.0
1605962351.5271,80.0,768.0
1605962352.4917,80.0,770.0
1605962353.5115,80.0,784.0
1605962354.5014,80.0,770.0
1605962355.4913,80.0,756.0
1605962356.621,80.0,755.0
1605962357.5015,80.0,728.0
1605962358.4914,81.0,743.0
1605962359.5412,81.0,770.0
1605962360.5013,81.0,772.0
1605962361.599,81.0,784.0
1605962362.5113,81.0,789.0
1605962363.501,80.0,772.0
1605962364.4917,80.0,767.0
1605962365.5303,80.0,761.0
1605962366.5015,80.0,749.0
1605962367.4918,81.0,767.0
1605962368.5112,81.0,794.0
1605962369.5311,80.0,806.0
1605962370.5991,80.0,840.0
1605962371.5112,79.0,836.0
1605962372.5012,78.0,821.0
1605962373.491,78.0,805.0
1605962374.5323,78.0,771.0
1605962375.6402,78.0,760.0
1605962376.4911,78.0,755.0
1605962377.5109,79.0,752.0
1605962378.5009,79.0,763.0
1605962379.6019,79.0,807.0
1605962380.511,79.0,806.0
1605962381.5009,78.0,802.0
1605962382.4911,78.0,807.0
1605962383.5317,78.0,807.0
1605962384.6122,78.0,752.0
1605962385.4911,79.0,740.0
1605962386.5108,79.0,709.0
1605962387.5308,80.0,714.0
1605962388.5422,81.0,719.0
1605962389.5409,81.0,752.0
1605962390.5008,81.0,766.0
1605962391.4908,81.0,755.0
1605962392.5107,81.0,748.0
1605962393.6122,81.0,744.0
1605962394.4909,82.0,741.0
1605962395.5107,82.0,743.0
1605962396.5006,82.0,758.0
1605962397.555,82.0,787.0
1605962398.6525,81.0,784.0
1605962399.5006,81.0,798.0
1605962400.4905,80.0,775.0
1605962401.5104,80.0,761.0
1605962402.5511,80.0,751.0
1605962403.5208,80.0,736.0
1605962404.5106,81.0,736.0
1605962405.5004,81.0,747.0
1605962406.5098,81.0,758.0
1605962407.6216,81.0,766.0
1605962408.5005,81.0,782.0
1605962409.4903,81.0,772.0
1605962410.5403,80.0,781.0
1605962411.551,80.0,776.0
1605962412.4908,80.0,748.0
1605962413.5103,80.0,750.0
1605962414.5002,81.0,755.0
1605962415.4902,81.0,774.0
1605962416.622,81.0,786.0
1605962417.5003,80.0,801.0
1605962418.4902,80.0,798.0
1605962419.5103,79.0,799.0
1605962420.5499,79.0,796.0
1605962421.4906,79.0,796.0
1605962422.5103,79.0,794.0
1605962423.5002,79.0,798.0
1605962424.4904,78.0,789.0
1605962425.5583,78.0,778.0
1605962426.5005,78.0,785.0
1605962427.4903,79.0,759.0
1605962428.5102,79.0,765.0
1605962429.5302,79.0,743.0
1605962430.6288,80.0,707.0
1605962431.5103,80.0,707.0
1605962432.5002,82.0,720.0
