Time,HR,RR
1605962162.5064,82,686
1605962163.4946,83,709
1605962164.5148,84,726
1605962165.5344,84,294
1605962166.4945,84,695
1605962167.5449,84,703
1605962168.5048,85,729
1605962169.4945,84,773
1605962170.5444,84,797
1605962171.5343,83,811
1605962172.5902,81,837
1605962173.5145,81,838
1605962174.5042,80,796
1605962175.4943,79,774
1605962176.5142,79,762
1605962177.6529,79,768
1605962178.4943,80,753
1605962179.5143,80,770
1605962180.5042,80,781
1605962181.5756,80,785
1605962182.5143,79,783
1605962183.5041,79,790
1605962184.4941,79,781
1605962185.5140,79,761
1605962186.6239,79,768
1605962187.4942,79,790
1605962188.5141,79,803
1605962189.5041,79,814
1605962190.5234,78,854
1605962191.5144,78,853
1605962192.5041,77,819
1605962193.4940,77,796
1605962194.5139,77,786
1605962195.5838,77,773
1605962196.4941,77,777
1605962197.5141,77,839
1605962198.5039,77,854
1605962199.4939,77,882
1605962200.5937,76,891
1605962201.5038,75,895
1605962202.5239,74,863
1605962203.5438,74,798
1605962204.5837,74,782
1605962205.5541,75,763
1605962206.5140,76,785
1605962207.5038,76,807
1605962208.4937,76,805
1605962209.5940,76,812
1605962210.5041,76,821
1605962211.4937,76,802
1605962212.5137,76,780
1605962213.5240,77,761
1605962214.4940,77,742
1605962215.5136,78,727
1605962216.5037,79,733
1605962217.4936,80,731
1605962218.5984,80,737
1605962219.5040,81,744
1605962220.4935,81,717
1605962222.1267,82,714
1605962222.7056,82,705
1605962223.9913,83,690
1605962224.5158,84,691
1605962225.7367,84,725
1605962226.5815,84,753
1605962227.7076,84,750
1605962228.5059,84,745
1605962229.4961,84,741
1605962230.5456,84,712
1605962231.5244,84,716
1605962232.6306,84,745
1605962233.5150,84,762
1605962234.5052,84,768
1605962235.5415,83,793
1605962236.5675,82,808
1605962237.6431,81,796
1605962238.5260,81,794
1605962239.5151,80,774
1605962240.5051,80,756
1605962241.6348,80,760
1605962242.5151,80,792
1605962243.5051,80,805
1605962244.4950,80,806
1605962245.5719,79,814
1605962246.6483,79,793
1605962247.4951,79,764
1605962248.5149,79,726
1605962249.5046,80,706
1605962250.5738,81,705
1605962251.5150,81,699
1605962252.5050,83,716
1605962253.4949,83,761
1605962254.5149,82,769
1605962255.6734,82,794
1605962256.4950,81,777
1605962257.5146,81,768
1605962258.5050,81,755
1605962259.5718,81,750
1605962260.6926,81,773
1605962261.5357,81,812
1605962262.4946,80,818
1605962263.5149,79,831
1605962264.6112,79,836
1605962265.4945,78,828
1605962266.5147,78,802
1605962267.5046,78,769
1605962268.5723,78,775
1605962269.6558,78,748
1605962270.5345,79,788
1605962271.5245,79,817
1605962272.5144,79,811
1605962273.5912,78,837
1605962274.4945,77,809
1605962275.5145,77,803
1605962276.5087,77,797
1605962277.5097,77,784
1605962278.6547,77,781
1605962279.5044,77,787
1605962280.4944,78,774
1605962281.5142,78,785
1605962282.5498,78,803
1605962283.4944,78,810
1605962284.5144,77,800
1605962285.5041,77,787
1605962286.4943,77,778
1605962287.6222,78,777
1605962288.5044,78,765
1605962289.4941,78,764
1605962290.5143,78,757
1605962291.5274,79,780
1605962292.6623,79,799
1605962293.5141,79,807
1605962294.5041,78,807
1605962295.4942,78,796
1605962296.6025,78,785
1605962297.5039,78,766
1605962298.4941,78,756
1605962299.5141,79,744
1605962300.5041,79,744
1605962301.6030,80,755
1605962302.5442,80,745
1605962303.5340,80,747
1605962304.5240,81,751
1605962305.5643,81,734
1605962306.5040,81,719
1605962307.4939,82,722
1605962308.5150,82,719
1605962309.5237,83,719
1605962310.6029,83,745
1605962311.5142,83,742
1605962312.5039,83,743
1605962313.4937,83,745
