Time,GSR,Temp(C)
1605960426.1538,412,37.00
1605960427.7437,412,37.00
1605960429.3626,411,37.00
1605960430.9526,410,37.00
1605960432.5891,410,37.00
1605960434.2491,410,37.00
1605960435.7527,406,37.00
1605960437.3425,394,37.00
1605960438.9625,384,37.00
1605960440.5523,380,37.00
1605960442.1425,381,37.00
1605960443.7910,383,37.00
1605960445.4877,386,37.00
1605960446.9425,388,37.00
1605960448.5624,391,37.00
1605960450.1524,393,37.00
1605960451.7425,395,37.00
1605960453.3324,396,37.00
1605960455.0305,395,37.00
1605960456.5423,395,37.00
1605960458.1323,395,37.00
1605960459.7522,396,37.00
1605960461.3421,395,37.00
1605960462.9621,395,37.00
1605960464.5520,396,37.00
1605960466.2419,396,37.00
1605960467.7321,395,37.00
1605960469.3521,395,37.00
1605960470.9420,396,37.00
1605960472.5330,397,37.00
1605960474.1520,398,37.00
1605960475.7855,395,37.00
1605960477.4358,384,37.00
1605960478.9219,375,37.00
1605960480.5419,373,37.00
1605960482.1318,375,37.00
1605960483.7217,378,37.00
1605960485.3416,381,37.00
1605960486.9734,384,37.00
1605960488.5218,387,37.00
1605960490.1417,390,37.00
1605960491.7316,392,37.00
1605960493.3217,394,37.00
1605960494.9415,396,37.00
1605960496.5453,398,37.00
1605960498.1937,399,37.00
1605960499.7414,401,37.00
1605960501.3315,402,37.00
1605960502.9215,403,37.00
1605960504.5120,404,37.00
1605960506.1314,405,37.00
1605960507.7350,405,37.00
1605960509.4460,405,37.00
1605960511.0955,406,37.00
1605960512.5214,405,37.00
1605960514.1114,404,37.00
1605960515.7313,404,37.00
1605960517.3212,404,37.00
1605960518.9828,405,37.00
1605960520.6658,406,37.00
1605960522.1212,407,37.00
1605960523.7111,407,37.00
1605960525.3311,408,37.00
1605960526.9210,409,37.00
1605960528.5110,409,37.00
1605960530.2033,410,37.00
1605960531.8632,410,37.00
1605960533.3109,410,37.00
1605960534.9009,410,37.00
1605960536.5209,410,37.00
1605960538.1108,410,37.00
1605960539.7514,410,37.00
1605960541.6180,411,37.00
1605960542.9107,411,37.06
1605960544.5006,411,37.00
1605960546.1207,411,37.00
1605960547.7106,408,37.00
1605960549.3006,403,37.00
1605960550.9334,398,37.06
1605960552.5108,396,37.00
1605960554.1007,396,37.00
1605960555.7206,397,37.00
1605960557.3105,397,37.00
1605960558.9005,399,37.00
1605960560.4905,401,37.00
1605960562.1523,402,37.00
1605960563.7005,403,37.06
1605960565.2905,403,37.00
1605960566.9104,404,37.00
1605960568.5004,404,37.06
1605960570.0903,401,37.00
1605960571.7102,400,37.00
1605960573.4038,399,37.06
1605960574.8902,400,37.00
1605960576.5102,400,37.00
1605960578.1001,401,37.06
1605960579.6901,401,37.00
1605960581.3101,401,37.06
1605960582.9504,401,37.06
1605960584.6003,400,37.00
1605960586.0801,401,37.06
1605960587.7001,401,37.06
1605960589.2900,402,37.06
1605960590.8800,403,37.00
1605960592.5000,404,37.06
1605960594.1343,406,37.06
1605960595.8105,407,37.06
1605960597.3000,407,37.06
1605960598.8900,408,37.00
1605960600.4799,409,37.06
1605960602.0998,410,37.06
1605960603.7000,410,37.06