Time,ECG
1605960427.9802,-109
1605960427.9826,417
1605960427.9852,2402
1605960427.9879,5302
1605960427.9903,7148
1605960427.9924,8105
1605960427.9948,9277
1605960427.9969,10290
1605960427.9990,10927
1605960428.0010,11560
1605960428.0026,12143
1605960428.0046,12553
1605960428.0066,12929
1605960428.0086,13300
1605960428.0106,13579
1605960428.0126,13803
1605960428.0146,14023
1605960428.0166,14221
1605960428.0186,14382
1605960428.0206,14506
1605960428.0226,14626
1605960428.0246,14741
1605960428.0266,14821
1605960428.0286,14890
1605960428.0306,14978
1605960428.0326,15053
1605960428.0346,15100
1605960428.0366,15144
1605960428.0386,15192
1605960428.0405,15227
1605960428.0425,15249
1605960428.0445,15278
1605960428.0465,15297
1605960428.0485,15300
1605960428.0506,15290
1605960428.0525,15292
1605960428.0545,15292
1605960428.0566,15239
1605960428.0585,15180
1605960428.0606,15153
1605960428.0625,15112
1605960428.0645,15070
1605960428.0665,15019
1605960428.0685,14953
1605960428.0705,14919
1605960428.0725,14877
1605960428.0745,14797
1605960428.0765,14738
1605960428.0785,14697
1605960428.0806,14631
1605960428.0827,14555
1605960428.0846,14494
1605960428.0865,14433
1605960428.0885,14357
1605960428.0905,14284
1605960428.0925,14216
1605960428.0945,14150
1605960428.0965,14072
1605960428.0985,13991
1605960428.1005,13933
1605960428.1025,13854
1605960428.1045,13742
1605960428.1065,13647
1605960428.1085,13574
1605960428.1105,13486
1605960428.1125,13395
1605960428.1145,13317
1605960428.1165,13249
1605960428.1185,13173
1605960428.1205,13078
1605960428.1225,12978
1605960428.1245,12897
1605960428.1265,12819
1605960428.5187,12719
1605960428.5198,12619
1605960428.5222,12524
1605960428.5249,12314
1605960428.5269,11923
1605960428.5289,11716
1605960428.5310,12165
1605960428.5329,12749
1605960428.5349,12500
1605960428.5369,11887
1605960428.5389,11782
1605960428.5408,11784
1605960428.5428,11550
1605960428.5449,11430
1605960428.5468,11408
1605960428.5488,11286
1605960428.5509,11166
1605960428.5528,11098
1605960428.5548,11010
1605960428.5568,10903
1605960428.5588,10812
1605960428.5609,10727
1605960428.5628,10634
1605960428.5648,10537
1605960428.5668,10434
1605960428.5688,10339
1605960428.5708,10244
1605960428.5728,10146
1605960428.5750,10065
1605960428.5769,9960
1605960428.5788,9838
1605960428.5808,9750
