,gsr,temp
1605960429.3626,150467.60879261544,37.0
1605960430.9526,150793.48297374477,37.0
1605960432.5891,151116.63238637047,37.0
1605960434.2491,151437.05703049252,37.0
1605960435.7527,151754.7569061109,37.0
1605960437.3425,152069.73201322567,37.0
1605960438.9625,152381.98235183678,37.0
1605960440.5523,152691.50792194423,37.0
1605960442.1425,152998.30872354805,37.0
1605960443.791,153302.3847566482,37.0
1605960445.4877,153603.73602124475,37.0
1605960446.9425,153902.3625173376,37.0
1605960448.5624,154198.26424492686,37.0
1605960450.1524,154491.44120401243,37.0
1605960451.7425,154781.89339459437,37.0
1605960453.3324,155069.6208166727,37.0
1605960455.0305,155354.62347024732,37.0
1605960456.5423,155636.90135531832,37.0
1605960458.1323,155916.4544718857,37.0
1605960459.7522,156193.2828199494,37.0
1605960461.3421,156467.38639950947,37.0
1605960462.9621,156738.76521056588,37.0
1605960464.552,157007.41925311866,37.0
1605960466.2419,157273.34852716778,37.0
1605960467.7321,157536.55303271327,37.0
1605960469.3521,157797.0327697551,37.0
1605960470.942,158054.7877382933,37.0
1605960472.533,158309.81793832785,37.0
1605960474.152,158562.12336985875,37.0
1605960475.7855,158811.704032886,37.0
1605960477.4358,159058.5599274096,37.0
1605960478.9219,159302.69105342956,37.0
1605960480.5419,159544.0974109459,37.0
1605960482.1318,159782.77899995857,37.0
1605960483.7217,160018.73582046758,37.0
1605960485.3416,160251.96787247297,37.0
1605960486.9734,160482.47515597468,37.0
1605960488.5218,160710.2576709728,37.0
1605960490.1417,160935.3154174672,37.0
1605960491.7316,161157.64839545803,37.0
1605960493.3217,161377.25660494517,37.0
1605960494.9415,161594.14004592868,37.0
1605960496.5453,161808.29871840854,37.0
1605960498.1937,162019.73262238476,37.0
1605960499.7414,162228.4417578573,37.0
1605960501.3315,162434.42612482625,37.0
1605960502.9215,162637.6857232915,37.0
1605960504.512,162838.22055325314,37.0
1605960506.1314,163036.03061471114,37.0
1605960507.735,163231.11590766546,37.0
1605960509.446,163423.47643209266,37.0
1605960511.0955,164141.57413432925,37.0
1605960512.5214,164842.9464809605,37.0
1605960514.1114,165532.5938578753,37.0
1605960515.7313,166240.55685747723,37.0
1605960517.3212,166877.50119755772,37.0
1605960518.9828,167217.39287819556,37.0
1605960520.6658,167327.88902275005,37.0
1605960522.1212,167326.09769286873,37.0
1605960523.7111,167328.0923493207,37.0
1605960525.3311,167585.654062501,37.0
1605960526.921,167833.97739715292,37.0
1605960528.511,168073.0623533005,37.0
1605960530.2033,168302.90893094373,37.0
1605960531.8632,168523.51713008262,37.0
1605960533.3109,168734.88695071713,37.0
1605960534.9009,168937.01839284733,37.0
1605960536.5209,169129.91145647317,37.0
1605960538.1108,169313.56614159464,37.0
1605960539.7514,169487.98244821178,37.0
1605960541.618,169653.16037632455,37.0
1605960542.9107,169809.099925933,37.06
1605960544.5006,169955.8010970371,37.0
1605960546.1207,170093.26388963684,37.0
1605960547.7106,170221.4883037322,37.0
1605960549.3006,170340.47433932326,37.0
1605960550.9334,170450.22199640996,37.06
1605960552.5108,170550.73127499231,37.0
1605960554.1007,170642.00217507032,37.0
1605960555.7206,170724.03469664394,37.0
1605960557.3105,170796.82883971324,37.0
1605960558.9005,170860.3846042782,37.0
1605960560.4905,170914.7019903388,37.0
1605960562.1523,170959.78099789505,37.0
1605960563.7005,170995.62162694696,37.06
1605960565.2905,171022.2238774945,37.0
1605960566.9104,171039.58774953772,37.0
1605960568.5004,171047.71324307658,37.06
1605960570.0903,171046.6003581111,37.0
1605960571.7102,171036.24909464127,37.0
1605960573.4038,171016.65945266708,37.06
1605960574.8902,170987.83143218854,37.0
1605960576.5102,170949.76503320565,37.0
1605960578.1001,170902.46025571844,37.06
1605960579.6901,170845.91709972685,37.0
1605960581.3101,170780.1355652309,37.06
1605960582.9504,170705.11565223063,37.06
1605960584.6003,170620.857360726,37.0
1605960586.0801,170527.36069071703,37.06
1605960587.7001,170424.6256422037,37.06
1605960589.29,170312.65221518604,37.06
1605960590.88,170191.440409664,37.0
1605960592.5,170060.99022563762,37.06
1605960594.1343,169921.30166310692,37.06
1605960595.8105,169772.37472207184,37.06
1605960597.3,169614.20940253243,37.06
1605960598.89,169446.80570448865,37.0
1605960600.4799,169270.16362794055,37.06
1605960602.0998,169084.28317288807,37.06
1605960603.7,168889.16433933127,37.06
