,ecg
1605960427.9802,-109.0
1605960427.9826,417.0
1605960427.9852,2402.0
1605960427.9879,5302.0
1605960427.9903,7148.0
1605960427.9924,8105.0
1605960427.9948,9277.0
1605960427.9969,10290.0
1605960427.999,10927.0
1605960428.001,11560.0
1605960428.0026,12143.0
1605960428.0046,12553.0
1605960428.0066,12929.0
1605960428.0086,13300.0
1605960428.0106,13579.0
1605960428.0126,13803.0
1605960428.0146,14023.0
1605960428.0166,14221.0
1605960428.0186,14382.0
1605960428.0206,14506.0
1605960428.0226,14626.0
1605960428.0246,14741.0
1605960428.0266,14821.0
1605960428.0286,14890.0
1605960428.0306,14978.0
1605960428.0326,15053.0
1605960428.0346,15100.0
1605960428.0366,15144.0
1605960428.0386,15192.0
1605960428.0405,15227.0
1605960428.0425,15249.0
1605960428.0445,15278.0
1605960428.0465,15297.0
1605960428.0485,15300.0
1605960428.0506,15290.0
1605960428.0525,15292.0
1605960428.0545,15292.0
1605960428.0566,15239.0
1605960428.0585,15180.0
1605960428.0606,15153.0
1605960428.0625,15112.0
1605960428.0645,15070.0
1605960428.0665,15019.0
1605960428.0685,14953.0
1605960428.0705,14919.0
1605960428.0725,14877.0
1605960428.0745,14797.0
1605960428.0765,14738.0
1605960428.0785,14697.0
1605960428.0806,14631.0
1605960428.0827,14555.0
1605960428.0846,14494.0
1605960428.0865,14433.0
1605960428.0885,14357.0
1605960428.0905,14284.0
1605960428.0925,14216.0
1605960428.0945,14150.0
1605960428.0965,14072.0
1605960428.0985,13991.0
1605960428.1005,13933.0
1605960428.1025,13854.0
1605960428.1045,13742.0
1605960428.1065,13647.0
1605960428.1085,13574.0
1605960428.1105,13486.0
1605960428.1125,13395.0
1605960428.1145,13317.0
1605960428.1165,13249.0
1605960428.1185,13173.0
1605960428.1205,13078.0
1605960428.1225,12978.0
1605960428.1245,12897.0
1605960428.1265,12819.0
1605960428.5187,12719.0
1605960428.5198,12619.0
1605960428.5222,12524.0
1605960428.5249,12314.0
1605960428.5269,11923.0
1605960428.5289,11716.0
1605960428.531,12165.0
1605960428.5329,12749.0
1605960428.5349,12500.0
1605960428.5369,11887.0
1605960428.5389,11782.0
1605960428.5408,11784.0
1605960428.5428,11550.0
1605960428.5449,11430.0
1605960428.5468,11408.0
1605960428.5488,11286.0
1605960428.5509,11166.0
1605960428.5528,11098.0
1605960428.5548,11010.0
1605960428.5568,10903.0
1605960428.5588,10812.0
1605960428.5609,10727.0
1605960428.5628,10634.0
1605960428.5648,10537.0
1605960428.5668,10434.0
1605960428.5688,10339.0
1605960428.5708,10244.0
1605960428.5728,10146.0
1605960428.575,10065.0
1605960428.5769,9960.0
1605960428.5788,9838.0
1605960428.5808,9750.0
1605960428.5828,9665.0
1605960428.5848,9565.0
1605960428.5868,9470.0
1605960428.5888,9384.0
1605960428.5908,9309.0
1605960428.5928,9243.0
1605960428.5949,9160.0
1605960428.5968,9074.0
1605960428.5988,9006.0
1605960428.6008,8942.0
1605960428.6028,8869.0
1605960428.6048,8803.0
1605960428.6068,8737.0
1605960428.6088,8671.0
1605960428.6108,8608.0
1605960428.6128,8532.0
1605960428.6148,8457.0
1605960428.6168,8388.0
1605960428.6188,8303.0
1605960428.6208,8210.0
1605960428.6228,8129.0
1605960428.6248,8051.0
1605960428.6268,7971.0
1605960428.6288,7885.0
1605960428.6308,7802.0
1605960428.6328,7724.0
1605960428.6348,7651.0
1605960428.6368,7578.0
1605960428.6388,7504.0
1605960428.6408,7436.0
1605960428.6428,7363.0
1605960428.6448,7280.0
1605960428.6468,7216.0
1605960428.6488,7153.0
1605960428.6508,7070.0
1605960428.6528,6997.0
1605960428.6548,6936.0
1605960428.6568,6865.0
1605960428.6588,6799.0
1605960428.6608,6733.0
1605960428.6628,6672.0
1605960429.0885,6611.0
1605960429.0895,6542.0
1605960429.0919,6479.0
1605960429.0945,6406.0
1605960429.0965,6320.0
1605960429.0985,6247.0
1605960429.1008,6188.0
1605960429.1025,6140.0
1605960429.1045,6088.0
1605960429.1065,6008.0
1605960429.1085,5942.0
1605960429.1106,5900.0
1605960429.1125,5844.0
1605960429.1145,5766.0
1605960429.1166,5708.0
1605960429.1185,5661.0
1605960429.1205,5598.0
1605960429.1224,5532.0
1605960429.1245,5410.0
1605960429.1264,5112.0
1605960429.1285,4826.0
1605960429.1305,5080.0
1605960429.1325,5761.0
1605960429.1345,5861.0
1605960429.1365,5288.0
1605960429.1385,5012.0
1605960429.1405,5075.0
1605960429.1424,4985.0
1605960429.1445,4875.0
1605960429.1465,4865.0
1605960429.1485,4819.0
1605960429.1505,4746.0
1605960429.1524,4697.0
