,hr,rr
1605960428.6653,86.0,676.0
1605960429.5356,86.0,676.0
1605960430.5262,87.0,676.0
1605960431.5453,87.0,723.0
1605960432.5873,87.0,735.0
1605960433.5257,86.0,741.0
1605960434.5754,86.0,726.0
1605960435.5354,86.0,710.0
1605960436.5252,86.0,702.0
1605960437.6051,86.0,736.0
1605960438.5353,86.0,793.0
1605960439.5253,84.0,829.0
1605960440.5451,83.0,874.0
1605960441.5628,81.0,888.0
1605960442.6737,80.0,878.0
1605960443.5453,78.0,842.0
1605960444.5651,78.0,770.0
1605960445.5251,78.0,759.0
1605960446.5949,78.0,765.0
1605960447.5355,79.0,807.0
1605960448.5251,78.0,818.0
1605960449.5451,78.0,838.0
1605960450.5352,77.0,854.0
1605960451.672,77.0,801.0
1605960452.5752,76.0,768.0
1605960453.5351,77.0,750.0
1605960454.525,78.0,715.0
1605960455.5946,79.0,699.0
1605960456.5354,80.0,684.0
1605960457.5251,82.0,689.0
1605960458.545,83.0,724.0
1605960459.535,83.0,738.0
1605960460.6049,83.0,732.0
1605960461.545,83.0,730.0
1605960462.5352,83.0,732.0
1605960463.5249,83.0,736.0
1605960464.5447,83.0,725.0
1605960465.5351,84.0,726.0
1605960466.5251,84.0,727.0
1605960467.5747,84.0,724.0
1605960468.5347,84.0,739.0
1605960469.6035,84.0,764.0
1605960470.5449,83.0,775.0
1605960471.5349,83.0,738.0
1605960472.5247,83.0,733.0
1605960473.5447,83.0,725.0
1605960474.6435,83.0,720.0
1605960475.5248,84.0,682.0
1605960476.5447,85.0,685.0
1605960477.5346,86.0,704.0
1605960478.6059,86.0,728.0
1605960479.545,85.0,725.0
1605960480.5346,85.0,698.0
1605960481.5245,86.0,679.0
1605960482.5445,87.0,685.0
1605960483.6142,87.0,719.0
1605960484.5246,87.0,771.0
1605960485.5444,87.0,814.0
1605960486.5343,84.0,842.0
1605960487.5455,82.0,915.0
1605960488.5446,81.0,936.0
1605960489.5345,79.0,932.0
1605960490.5244,78.0,909.0
1605960491.5443,77.0,887.0
1605960492.6148,75.0,853.0
1605960493.5244,75.0,794.0
1605960494.5444,75.0,770.0
1605960495.5342,76.0,771.0
1605960496.5434,76.0,812.0
1605960497.6238,76.0,836.0
1605960498.5343,76.0,835.0
1605960499.5243,76.0,834.0
1605960500.5742,75.0,831.0
1605960501.5837,75.0,822.0
1605960502.5245,75.0,808.0
1605960503.5442,75.0,789.0
1605960504.5341,76.0,776.0
1605960505.5241,76.0,758.0
1605960506.6335,77.0,740.0
1605960507.5343,78.0,750.0
1605960508.5242,78.0,771.0
1605960509.544,79.0,754.0
1605960510.5597,79.0,753.0
1605960511.662,79.0,752.0
1605960512.5441,80.0,750.0
1605960513.5642,80.0,744.0
1605960514.5241,80.0,755.0
1605960515.6537,80.0,776.0
1605960516.5342,80.0,759.0
1605960517.5239,80.0,753.0
1605960518.5439,80.0,764.0
1605960519.5553,80.0,761.0
1605960520.6635,81.0,750.0
1605960521.544,81.0,745.0
1605960522.5339,81.0,758.0
1605960523.5238,81.0,787.0
1605960524.5688,81.0,818.0
1605960525.534,80.0,832.0
1605960526.5238,80.0,857.0
1605960527.5438,78.0,844.0
1605960528.5337,78.0,807.0
1605960529.6354,78.0,787.0
1605960530.5438,78.0,760.0
1605960531.5337,78.0,744.0
1605960532.5236,79.0,764.0
1605960533.5737,79.0,787.0
1605960534.7056,79.0,809.0
1605960535.5237,78.0,829.0
1605960536.5436,78.0,842.0
1605960537.5336,77.0,834.0
1605960538.5735,77.0,798.0
1605960539.5739,77.0,773.0
1605960540.541,77.0,764.0
1605960541.6187,78.0,728.0
1605960542.8104,78.0,718.0
1605960543.9251,79.0,739.0
1605960544.5234,80.0,808.0
1605960545.5434,79.0,792.0
1605960546.5333,79.0,801.0
1605960547.574,79.0,791.0
1605960548.5437,79.0,798.0
1605960549.5333,79.0,762.0
1605960550.5233,79.0,752.0
1605960551.5433,79.0,754.0
1605960552.6708,80.0,737.0
1605960553.5236,80.0,730.0
1605960554.5434,80.0,735.0
1605960555.5332,81.0,745.0
1605960556.604,81.0,752.0
1605960557.692,81.0,766.0
1605960558.5334,81.0,780.0
1605960559.5233,81.0,802.0
1605960560.5432,80.0,834.0
1605960561.5835,80.0,858.0
1605960562.5235,78.0,842.0
