Time,HR,RR
1605960426.5410,82,656
1605960427.5269,83,670
1605960428.6653,86,676
1605960429.5356,86,nan
1605960430.5262,87,676
1605960431.5453,87,723
1605960432.5873,87,735
1605960433.5257,86,741
1605960434.5754,86,726
1605960435.5354,86,710
1605960436.5252,86,702
1605960437.6051,86,736
1605960438.5353,86,793
1605960439.5253,84,829
1605960440.5451,83,874
1605960441.5628,81,888
1605960442.6737,80,878
1605960443.5453,78,842
1605960444.5651,78,770
1605960445.5251,78,759
1605960446.5949,78,765
1605960447.5355,79,807
1605960448.5251,78,818
1605960449.5451,78,838
1605960450.5352,77,854
1605960451.6720,77,801
1605960452.5752,76,768
1605960453.5351,77,750
1605960454.5250,78,715
1605960455.5946,79,699
1605960456.5354,80,684
1605960457.5251,82,689
1605960458.5450,83,724
1605960459.5350,83,738
1605960460.6049,83,732
1605960461.5450,83,730
1605960462.5352,83,732
1605960463.5249,83,736
1605960464.5447,83,725
1605960465.5351,84,726
1605960466.5251,84,727
1605960467.5747,84,724
1605960468.5347,84,739
1605960469.6035,84,764
1605960470.5449,83,775
1605960471.5349,83,738
1605960472.5247,83,733
1605960473.5447,83,725
1605960474.6435,83,720
1605960475.5248,84,682
1605960476.5447,85,685
1605960477.5346,86,704
1605960478.6059,86,728
1605960479.5450,85,725
1605960480.5346,85,698
1605960481.5245,86,679
1605960482.5445,87,685
1605960483.6142,87,719
1605960484.5246,87,771
1605960485.5444,87,814
1605960486.5343,84,842
1605960487.5455,82,915
1605960488.5446,81,936
1605960489.5345,79,932
1605960490.5244,78,909
1605960491.5443,77,887
1605960492.6148,75,853
1605960493.5244,75,794
1605960494.5444,75,770
1605960495.5342,76,771
1605960496.5434,76,812
1605960497.6238,76,836
1605960498.5343,76,835
1605960499.5243,76,834
1605960500.5742,75,831
1605960501.5837,75,822
1605960502.5245,75,808
1605960503.5442,75,789
1605960504.5341,76,776
1605960505.5241,76,758
1605960506.6335,77,740
1605960507.5343,78,750
1605960508.5242,78,771
1605960509.5440,79,754
1605960510.5597,79,753
1605960511.6620,79,752
1605960512.5441,80,750
1605960513.5642,80,744
1605960514.5241,80,755
1605960515.6537,80,776
1605960516.5342,80,759
1605960517.5239,80,753
1605960518.5439,80,764
1605960519.5553,80,761
1605960520.6635,81,750
1605960521.5440,81,745
1605960522.5339,81,758
1605960523.5238,81,787
1605960524.5688,81,818
1605960525.5340,80,832
1605960526.5238,80,857
1605960527.5438,78,844
1605960528.5337,78,807
1605960529.6354,78,787
1605960530.5438,78,760
1605960531.5337,78,744
1605960532.5236,79,764
1605960533.5737,79,787
1605960534.7056,79,809
1605960535.5237,78,829
1605960536.5436,78,842
1605960537.5336,77,834
1605960538.5735,77,798
1605960539.5739,77,773
1605960540.5410,77,764
1605960541.6187,78,728
1605960542.8104,78,718
1605960543.9251,79,739
1605960544.5234,80,808
1605960545.5434,79,792
1605960546.5333,79,801
1605960547.5740,79,791
1605960548.5437,79,798
1605960549.5333,79,762
1605960550.5233,79,752
1605960551.5433,79,754
1605960552.6708,80,737
1605960553.5236,80,730
1605960554.5434,80,735
1605960555.5332,81,745
1605960556.6040,81,752
1605960557.6920,81,766
1605960558.5334,81,780
1605960559.5233,81,802
1605960560.5432,80,834
1605960561.5835,80,858
1605960562.5235,78,842
1605960563.5432,78,804
1605960564.5332,78,792
1605960565.5231,78,767
1605960566.6533,78,752
1605960567.5632,78,751
1605960568.5231,79,756
1605960569.5437,79,741
1605960570.5909,80,768
1605960571.5232,80,782
1605960572.5430,80,775
1605960573.5329,80,768
1605960574.5229,80,780
1605960575.6223,80,736
1605960576.5330,80,730
1605960577.5229,81,747
1605960578.5429,81,755
1605960579.5843,81,745
1605960580.5230,81,754
1605960581.5430,81,751
1605960582.5329,81,742
1605960583.5228,82,741
1605960584.6011,82,739
1605960585.5331,82,733
1605960586.5228,82,740
1605960587.5427,83,738
1605960588.5525,83,737
1605960589.6627,83,741
1605960590.5429,83,733
1605960591.5327,83,731
1605960592.5226,83,733
1605960593.5924,83,750
1605960594.5330,83,758
1605960595.5228,83,758
1605960596.5427,82,764
1605960597.5326,82,755
1605960598.6023,82,738
1605960599.5730,82,746
1605960600.5625,82,764
1605960601.5226,82,755
1605960602.5425,82,781
1605960603.5327,82,794
