Time,GSR,Temp(C)
1605961315.4125,407,37.06
1605961317.0316,407,37.06
1605961318.6873,407,37.06
1605961320.2117,408,37.06
1605961321.8315,408,37.06
1605961323.4214,408,37.06
1605961325.0114,403,37.06
1605961326.6013,387,37.06
1605961328.2212,375,37.06
1605961329.9085,371,37.06
1605961331.4315,373,37.06
1605961333.0213,377,37.06
1605961334.6112,379,37.06
1605961336.2012,381,37.06
1605961337.8511,384,37.06
1605961339.4188,387,37.06
1605961341.1215,389,37.06
1605961342.6211,391,37.06
1605961344.2411,392,37.06
1605961345.8010,393,37.06
1605961347.4210,394,37.06
1605961349.0110,392,37.06
1605961350.6883,389,37.06
1605961352.3098,385,37.06
1605961353.8110,383,37.06
1605961355.4008,376,37.06
1605961356.9908,359,37.06
1605961358.6107,355,37.06
1605961360.2008,357,37.06
1605961361.8495,362,37.06
1605961363.4110,366,37.06
1605961365.0008,370,37.06
1605961366.5906,374,37.06
1605961368.2107,374,37.06
1605961369.8306,367,37.06
1605961371.4269,360,37.06
1605961373.0677,361,37.06
1605961374.6006,360,37.06
1605961376.1906,349,37.06
1605961377.7805,348,37.06
1605961379.4004,354,37.06
1605961380.9905,359,37.06
1605961382.6113,361,37.06
1605961384.3199,361,37.06
1605961385.7905,329,37.06
1605961387.3804,329,37.06
1605961389.0004,339,37.06
1605961390.5903,335,37.06
1605961392.2403,334,37.06
1605961393.8607,341,37.06
1605961395.5112,344,37.06
1605961396.9803,350,37.06
1605961398.6004,354,37.06
1605961400.1902,355,37.06
1605961401.7801,348,37.06
1605961403.3701,350,37.06
1605961405.0469,353,37.06
1605961406.5803,348,37.06
1605961408.1701,332,37.06
1605961409.7900,334,37.06
1605961411.3800,339,37.06
1605961412.9699,347,37.06
1605961414.6227,352,37.06
1605961418.4509,360,37.06
1605961418.4541,366,37.06
1605961419.5365,370,37.06
1605961420.9812,375,37.06
1605961422.5778,379,37.06
1605961424.2794,382,37.06
1605961425.8371,384,37.13
1605961427.3709,387,37.13
1605961428.9610,386,37.06
1605961430.5807,389,37.06
1605961432.1709,390,37.06
1605961433.7610,387,37.06
1605961435.3806,375,37.13
1605961437.0541,375,37.06
1605961438.7286,374,37.13
1605961440.1809,375,37.13
1605961441.7708,377,37.06
1605961443.3607,380,37.06
1605961444.9807,384,37.06
1605961446.6358,392,37.06
1605961448.2777,395,37.06
1605961449.9587,402,37.06
1605961451.3707,401,37.06
1605961452.9606,400,37.06
1605961454.5503,398,37.06
1605961456.1704,400,37.06
1605961457.8491,402,37.06
1605961459.3505,405,37.13
1605961460.9705,409,37.06
1605961462.5604,409,37.06
1605961464.1504,411,37.06
1605961465.7704,413,37.06
1605961467.3617,415,37.06
1605961469.0312,417,37.13
1605961470.6852,418,37.06
1605961472.1605,420,37.13
1605961473.7502,418,37.06
1605961475.3702,415,37.06
1605961476.9603,413,37.06
1605961478.5788,414,37.06
1605961480.2526,416,37.06
1605961481.7601,417,37.06
1605961483.3501,419,37.06
1605961484.9400,420,37.13
1605961486.5600,424,37.06
1605961488.1500,426,37.06
1605961489.7918,427,37.06
1605961491.5087,427,37.06
1605961492.9500,428,37.06
1605961494.6268,428,37.13
1605961496.9511,429,37.06
1605961498.7260,430,37.06