Time,ECG
1605961316.3240,5114
1605961316.3269,6540
1605961316.3295,7380
1605961316.3322,8483
1605961316.3347,9321
1605961316.3374,9838
1605961316.3395,10429
1605961316.3409,10957
1605961316.3429,11313
1605961316.3449,11667
1605961316.3469,12004
1605961316.3489,12243
1605961316.3510,12448
1605961316.3529,12680
1605961316.3548,12878
1605961316.3569,13010
1605961316.3589,13127
1605961316.3609,13269
1605961316.3629,13388
1605961316.3649,13464
1605961316.3669,13554
1605961316.3689,13662
1605961316.3709,13725
1605961316.3729,13767
1605961316.3749,13833
1605961316.3769,13908
1605961316.3788,13964
1605961316.3808,14006
1605961316.3828,14060
1605961316.3848,14084
1605961316.3868,14067
1605961316.3888,14077
1605961316.3908,14096
1605961316.3928,14082
1605961316.3948,14057
1605961316.3968,14040
1605961316.3988,14023
1605961316.4008,13999
1605961316.4028,13947
1605961316.4048,13889
1605961316.4068,13857
1605961316.4088,13830
1605961316.4108,13771
1605961316.4128,13713
1605961316.4148,13681
1605961316.4168,13637
1605961316.4188,13557
1605961316.4208,13483
1605961316.4228,13444
1605961316.4248,13405
1605961316.4271,13339
1605961316.4288,13264
1605961316.4307,13220
1605961316.4327,13164
1605961316.4348,13066
1605961316.4367,12995
1605961316.4387,12949
1605961316.4407,12866
1605961316.4427,12768
1605961316.4447,12687
1605961316.4467,12624
1605961316.4487,12548
1605961316.4507,12451
1605961316.4527,12368
1605961316.4547,12307
1605961316.4567,12229
1605961316.4587,12131
1605961316.4607,12050
1605961316.4627,11965
1605961316.4647,11853
1605961316.4667,11762
1605961316.4687,11699
1605961316.4707,11599
1605961316.8626,11499
1605961316.8634,11433
1605961316.8659,11364
1605961316.8686,11274
1605961316.8705,11181
1605961316.8725,11083
1605961316.8746,10991
1605961316.8765,10910
1605961316.8786,10825
1605961316.8805,10717
1605961316.8825,10537
1605961316.8845,10180
1605961316.8865,9833
1605961316.8885,10102
1605961316.8905,10893
1605961316.8925,11008
1605961316.8945,10307
1605961316.8965,9936
1605961316.8985,9968
1605961316.9005,9821
1605961316.9025,9665
1605961316.9045,9631
1605961316.9065,9506
1605961316.9085,9372
1605961316.9105,9340
1605961316.9124,9267
1605961316.9144,9140
1605961316.9164,9052
1605961316.9186,8969
1605961316.9205,8874
1605961316.9225,8803
1605961316.9244,8725
1605961316.9264,8605
1605961316.9284,8505
1605961316.9304,8444
1605961316.9324,8364
1605961316.9344,8251
1605961316.9364,8151
1605961316.9385,8068
1605961316.9404,7988
1605961316.9424,7897
1605961316.9444,7805
1605961316.9464,7724
1605961316.9484,7646
1605961316.9504,7565
1605961316.9524,7487
1605961316.9544,7434
1605961316.9564,7377
1605961316.9585,7302
1605961316.9604,7250
1605961316.9624,7219
1605961316.9644,7148
1605961316.9664,7092
1605961316.9684,7070
1605961316.9704,7011
1605961316.9724,6928
1605961316.9744,6860
