,gsr,temp
1605961317.0316,175961.4171481489,37.06
1605961318.6873,173016.5850160692,37.06
1605961320.2117,170137.33530836154,37.06
1605961321.8315,167323.66802502592,37.06
1605961323.4214,164575.5831660623,37.06
1605961325.0114,161893.08073147075,37.06
1605961326.6013,159276.16072125122,37.06
1605961328.2212,156724.8231354037,37.06
1605961329.9085,154239.06797392824,37.06
1605961331.4315,151818.8952368248,37.06
1605961333.0213,149464.30492409342,37.06
1605961334.6112,147175.29703573402,37.06
1605961336.2012,144951.87157174668,37.06
1605961337.8511,142794.02853213137,37.06
1605961339.4188,140701.76791688811,37.06
1605961341.1215,138675.08972601686,37.06
1605961342.6211,136713.99395951763,37.06
1605961344.2411,134818.48061739048,37.06
1605961345.801,132988.5496996353,37.06
1605961347.421,131224.20120625218,37.06
1605961349.011,129525.4351372411,37.06
1605961350.6883,127892.25149260205,37.06
1605961352.3098,126324.65027233503,37.06
1605961353.811,124822.63147644003,37.06
1605961355.4008,123386.19510491707,37.06
1605961356.9908,122015.34115776615,37.06
1605961358.6107,120710.06963498726,37.06
1605961360.2008,119470.3805365804,37.06
1605961361.8495,118296.27386254557,37.06
1605961363.411,117187.74961288276,37.06
1605961365.0008,116144.807787592,37.06
1605961366.5906,115167.44838667326,37.06
1605961368.2107,114255.67141012655,37.06
1605961369.8306,113409.4768579519,37.06
1605961371.4269,112628.86473014925,37.06
1605961373.0677,111913.83502671865,37.06
1605961374.6006,111264.38774766008,37.06
1605961376.1906,110680.52289297353,37.06
1605961377.7805,110162.24046265901,37.06
1605961379.4004,109709.54045671654,37.06
1605961380.9905,109322.42287514609,37.06
1605961382.6113,109000.88771794767,37.06
1605961384.3199,108744.93498512129,37.06
1605961385.7905,108554.56467666694,37.06
1605961387.3804,108429.77679258461,37.06
1605961389.0004,108370.57133287433,37.06
1605961390.5903,108376.94829753607,37.06
1605961392.2403,108448.90768656984,37.06
1605961393.8607,108586.44949997566,37.06
1605961395.5112,108789.5737377535,37.06
1605961396.9803,109058.28039988781,37.06
1605961398.6004,109671.45117318915,37.06
1605961400.1902,110355.33087049873,37.06
1605961401.7801,111174.84033635637,37.06
1605961403.3701,112072.45930939044,37.06
1605961405.0469,113086.01635677145,37.06
1605961406.5803,113968.19535174503,37.06
1605961408.1701,114551.50508118334,37.06
1605961409.79,114994.5732720579,37.06
1605961411.38,115475.06915762031,37.06
1605961412.9699,116042.20486352601,37.06
1605961414.6227,116776.49927450123,37.06
1605961418.4509,117607.66475316482,37.06
1605961418.4541,118540.75043801435,37.06
1605961419.5365,119522.53734772702,37.06
1605961420.9812,120565.78701058103,37.06
1605961422.5778,121670.49942659338,37.06
1605961424.2794,122836.67459576405,37.06
1605961425.8371,124064.31251809305,37.13
1605961427.3709,125353.41319358037,37.13
1605961428.961,126703.97662222604,37.06
1605961430.5807,128116.00280403005,37.06
1605961432.1709,129589.49173899238,37.06
1605961433.761,131124.44342711303,37.06
1605961435.3806,132720.85786839202,37.13
1605961437.0541,134378.73506282934,37.06
1605961438.7286,136098.075010425,37.13
1605961440.1809,137878.87771117897,37.13
1605961441.7708,139721.1431650913,37.06
1605961443.3607,141624.8713721619,37.06
1605961444.9807,143590.0623323909,37.06
1605961446.6358,145616.7160457782,37.06
1605961448.2777,147704.83251232383,37.06
1605961449.9587,149854.4117320278,37.06
1605961451.3707,152065.45370489007,37.06
1605961452.9606,154337.95843091072,37.06
1605961454.5503,156671.92591008966,37.06
1605961456.1704,159067.35614242696,37.06
1605961457.8491,161524.24912792258,37.06
1605961459.3505,164042.6048665765,37.13
1605961460.9705,166622.4233583888,37.06
1605961462.5604,169263.70460335942,37.06
1605961464.1504,171966.44860148834,37.06
1605961465.7704,174730.65535277562,37.06
1605961467.3617,177556.32485722122,37.06
1605961469.0312,180443.45711482514,37.13
1605961470.6852,183392.05212558742,37.06
1605961472.1605,186402.109889508,37.13
1605961473.7502,189473.63040658692,37.06
1605961475.3702,192606.61367682417,37.06
1605961476.9603,195801.05970021978,37.06
1605961478.5788,199056.9684767737,37.06
1605961480.2526,202374.34000648593,37.06
1605961481.7601,205753.1742893565,37.06
1605961483.3501,209193.47132538538,37.06
1605961484.94,212695.23111457264,37.13
1605961486.56,216258.45365691825,37.06
1605961488.15,219883.1389524221,37.06
1605961489.7918,223569.28700108436,37.06
1605961491.5087,227316.8978029049,37.06
1605961492.95,231125.9713578838,37.06
1605961494.6268,234996.50766602103,37.13
1605961496.9511,238928.50672731656,37.06
1605961498.726,242921.96854177047,37.06
