,hr,rr
1605961316.5294,77.0,775.0
1605961317.5793,78.0,783.0
1605961318.5097,78.0,768.0
1605961319.5294,78.0,766.0
1605961320.5192,78.0,797.0
1605961321.5091,78.0,812.0
1605961322.5888,78.0,797.0
1605961323.5193,78.0,751.0
1605961324.5091,78.0,732.0
1605961325.5291,79.0,731.0
1605961326.547,80.0,742.0
1605961327.65,80.0,736.0
1605961328.5291,80.0,744.0
1605961329.5523,81.0,759.0
1605961330.5089,81.0,762.0
1605961331.6221,81.0,749.0
1605961332.5193,81.0,751.0
1605961333.509,81.0,772.0
1605961334.5289,81.0,774.0
1605961335.5189,80.0,772.0
1605961336.6574,80.0,781.0
1605961337.529,80.0,801.0
1605961338.5189,80.0,821.0
1605961339.5088,79.0,839.0
1605961340.5523,78.0,877.0
1605961341.5193,78.0,879.0
1605961342.509,77.0,853.0
1605961343.5588,76.0,820.0
1605961344.5187,76.0,770.0
1605961345.5903,76.0,779.0
1605961346.5289,77.0,805.0
1605961347.5187,77.0,813.0
1605961348.5087,76.0,843.0
1605961349.5286,76.0,849.0
1605961350.519,76.0,844.0
1605961351.5089,75.0,831.0
1605961352.5297,75.0,801.0
1605961353.5186,76.0,775.0
1605961354.6044,76.0,713.0
1605961355.529,77.0,705.0
1605961356.5187,78.0,733.0
1605961357.5085,79.0,789.0
1605961358.5286,79.0,835.0
1605961359.6293,78.0,933.0
1605961360.5086,77.0,916.0
1605961361.5286,76.0,936.0
1605961362.5184,75.0,961.0
1605961363.5887,74.0,954.0
1605961364.5286,73.0,917.0
1605961365.5186,72.0,865.0
1605961366.5097,72.0,794.0
1605961367.4983,72.0,800.0
1605961368.608,73.0,805.0
1605961369.5085,74.0,771.0
1605961370.4984,74.0,800.0
1605961371.5183,75.0,841.0
1605961372.5083,75.0,877.0
1605961373.4987,74.0,896.0
1605961374.5184,73.0,860.0
1605961375.5083,73.0,812.0
1605961376.4983,73.0,788.0
1605961377.5699,74.0,775.0
1605961378.5083,75.0,774.0
1605961379.4984,75.0,779.0
1605961380.5181,76.0,742.0
1605961381.5082,77.0,750.0
1605961382.6096,78.0,760.0
