Time,HR,RR
1605961315.5123,77,772
1605961316.5294,77,775
1605961317.5793,78,783
1605961318.5097,78,768
1605961319.5294,78,766
1605961320.5192,78,797
1605961321.5091,78,812
1605961322.5888,78,797
1605961323.5193,78,751
1605961324.5091,78,732
1605961325.5291,79,731
1605961326.5470,80,742
1605961327.6500,80,736
1605961328.5291,80,744
1605961329.5523,81,759
1605961330.5089,81,762
1605961331.6221,81,749
1605961332.5193,81,751
1605961333.5090,81,772
1605961334.5289,81,774
1605961335.5189,80,772
1605961336.6574,80,781
1605961337.5290,80,801
1605961338.5189,80,821
1605961339.5088,79,839
1605961340.5523,78,877
1605961341.5193,78,879
1605961342.5090,77,853
1605961343.5588,76,820
1605961344.5187,76,770
1605961345.5903,76,779
1605961346.5289,77,805
1605961347.5187,77,813
1605961348.5087,76,843
1605961349.5286,76,849
1605961350.5190,76,844
1605961351.5089,75,831
1605961352.5297,75,801
1605961353.5186,76,775
1605961354.6044,76,713
1605961355.5290,77,705
1605961356.5187,78,733
1605961357.5085,79,789
1605961358.5286,79,835
1605961359.6293,78,933
1605961360.5086,77,916
1605961361.5286,76,936
1605961362.5184,75,961
1605961363.5887,74,954
1605961364.5286,73,917
1605961365.5186,72,865
1605961366.5097,72,794
1605961367.4983,72,800
1605961368.6080,73,805
1605961369.5085,74,771
1605961370.4984,74,800
1605961371.5183,75,841
1605961372.5083,75,877
1605961373.4987,74,896
1605961374.5184,73,860
1605961375.5083,73,812
1605961376.4983,73,788
1605961377.5699,74,775
1605961378.5083,75,774
1605961379.4984,75,779
1605961380.5181,76,742
1605961381.5082,77,750
1605961382.6096,78,760
1605961383.5183,78,776
1605961384.5082,78,770
1605961385.4982,78,773
1605961386.5438,78,796
1605961387.5083,78,775
1605961388.4982,78,746
1605961389.5182,79,702
1605961390.5081,81,686
1605961391.6089,82,684
1605961392.5182,82,726
1605961393.5081,83,770
1605961394.4981,82,791
1605961395.5179,82,856
1605961396.6490,81,895
1605961397.4981,80,893
1605961398.5181,79,886
1605961399.5079,77,884
1605961400.5760,76,823
1605961401.5180,76,783
1605961402.5079,76,763
1605961403.4977,77,738
1605961404.5178,78,734
1605961405.6176,79,728
1605961406.4980,79,770
1605961407.5178,80,766
1605961408.5077,80,735
1605961409.5192,80,776
1605961410.5481,80,791
1605961411.5078,80,786
1605961412.4977,80,744
1605961413.5176,80,719
1605961414.6197,81,690
1605961418.1162,82,684
1605961418.1216,83,767
1605961418.1268,83,772
1605961419.1082,83,748
1605961419.7672,82,780
1605961420.5097,81,845
1605961421.4997,80,906
1605961422.5674,79,903
1605961423.6704,78,889
1605961424.5010,76,844
1605961425.5194,76,809
1605961426.5094,76,816
1605961427.5711,76,817
1605961428.7114,76,805
1605961429.5095,76,853
1605961430.4993,75,891
1605961431.5194,75,878
1605961432.5594,74,883
1605961433.6643,73,867
1605961434.5192,73,767
1605961435.5091,75,728
1605961436.4993,76,687
1605961437.6223,77,688
1605961438.5094,79,701
1605961439.5000,80,731
1605961440.5193,81,738
1605961441.5694,81,732
1605961442.6644,81,779
1605961443.5490,81,805
1605961444.5091,80,824
1605961445.4993,80,769
1605961446.6308,80,737
1605961447.5094,80,739
1605961448.4991,80,757
1605961449.5192,80,780
1605961450.5090,80,808
1605961451.6666,80,777
1605961452.5191,79,762
1605961453.5091,80,732
1605961454.4990,80,745
1605961455.5620,80,749
1605961456.5091,81,749
1605961457.4991,81,732
1605961458.5190,81,732
1605961459.5843,81,760
1605961460.6090,81,818
1605961461.5191,81,834
1605961462.5091,80,846
1605961463.4988,79,847
1605961464.5638,78,808
1605961465.6700,78,806
1605961466.4989,78,808
1605961467.5189,77,807
1605961468.5089,77,813
1605961469.6036,77,795
1605961470.5188,77,802
1605961471.5100,77,783
1605961472.4988,77,766
1605961473.5186,77,769
1605961474.6799,78,732
1605961475.4986,79,716
1605961476.5487,80,674
1605961477.5087,82,670
1605961478.5738,83,699
1605961479.5186,84,683
1605961480.5088,85,694
1605961481.4986,86,713
1605961482.6064,86,724
1605961483.6145,85,729
1605961484.4986,85,747
1605961485.5187,85,779
1605961486.5085,84,773
1605961487.5498,83,762
1605961488.5185,83,733
1605961489.5084,83,719
1605961490.4986,83,714
1605961491.5184,84,793
1605961492.9245,83,857
1605961493.4986,82,876
1605961494.6174,81,891
1605961495.7773,79,844
1605961497.4959,78,840
1605961498.7046,78,818
1605961498.7151,77,772
1605961500.2967,78,745
