Time,GSR,Temp(C)
1605963121.1262,444,37.06
1605963122.7164,445,37.00
1605963124.3353,445,37.00
1605963125.9252,445,37.00
1605963127.5151,445,37.00
1605963129.1350,445,37.00
1605963130.7250,445,37.06
1605963132.3150,445,37.00
1605963133.9983,444,37.00
1605963135.5252,443,37.00
1605963137.1151,441,37.00
1605963138.7651,440,37.00
1605963140.3248,438,37.00
1605963141.9148,436,37.00
1605963143.5440,435,37.00
1605963145.2215,437,37.00
1605963146.7149,436,37.00
1605963148.3047,434,37.00
1605963149.9248,429,37.00
1605963151.5147,424,37.00
1605963153.1046,426,37.00
1605963154.7536,426,37.00
1605963156.4340,428,37.00
1605963157.9047,427,37.00
1605963159.5247,427,37.00
1605963161.1146,428,37.00
1605963162.7046,426,37.00
1605963164.3245,423,37.00
1605963165.9413,422,37.00
1605963167.5046,423,37.00
1605963169.1247,424,37.00
1605963170.7146,424,37.00
1605963172.3044,425,37.00
1605963173.8944,426,37.06
1605963175.5143,427,37.06
1605963177.1937,428,37.00
1605963178.6945,429,37.00
1605963183.6376,430,37.06
1605963183.6414,430,37.00
1605963183.6445,430,37.00
1605963185.1487,430,37.06
1605963186.7819,431,37.00
1605963188.4859,431,37.00
1605963189.9153,432,37.00
1605963191.6605,432,37.06
1605963193.0951,433,37.00
1605963194.7152,433,37.00
1605963196.3050,433,37.06
1605963197.9789,434,37.00
1605963199.6311,432,37.06
1605963201.1050,431,37.06
1605963202.6950,431,37.00
1605963204.2850,431,37.00
1605963205.9049,432,37.00
1605963207.5206,431,37.00
1605963209.1669,431,37.00
1605963210.7049,429,37.00
1605963212.2950,426,37.00
1605963213.8849,424,37.06
1605963215.5348,423,37.00
1605963217.0948,423,37.00
1605963218.7338,424,37.00
1605963220.4502,424,37.00
1605963221.9009,425,37.00
1605963223.4845,426,37.06
1605963225.1047,427,37.00
1605963226.6948,428,37.00
1605963228.2847,429,37.00
1605963229.9379,430,37.06
1605963231.6502,430,37.00
1605963233.0845,431,37.00
1605963234.6745,431,37.06
1605963236.2946,431,37.00
1605963237.8845,431,37.00
1605963239.5021,431,37.00
1605963241.1893,430,37.00
1605963242.8450,431,37.00
1605963244.2745,430,37.06
1605963245.8944,430,37.00
1605963247.4843,433,37.00
1605963249.0743,429,37.00
1605963250.6942,426,37.00
1605963252.3712,425,37.00
1605963253.8743,421,37.00
1605963255.4644,421,37.00
1605963257.0842,424,37.00
1605963258.6740,424,37.00
1605963260.2641,423,37.00
1605963261.9727,423,37.00
1605963263.5972,424,37.00
1605963265.0641,424,37.00
1605963266.6840,425,37.00
1605963268.2739,425,37.00
1605963269.8941,426,37.00
1605963271.5228,426,37.00
1605963273.1312,426,37.00
1605963274.6638,426,37.00
1605963276.2839,427,37.00
1605963277.8741,427,37.00
1605963279.4638,428,37.00
1605963281.0539,428,37.00
1605963282.6922,428,37.00
1605963284.3567,428,37.00
1605963285.8538,429,37.00
1605963287.4737,429,37.00
1605963289.0638,429,37.00
1605963290.6536,429,37.00
1605963292.2736,429,37.00
1605963293.8876,428,37.00
1605963295.4536,428,37.00
1605963297.0736,428,37.06
1605963298.6636,431,37.00
1605963300.2535,431,37.00
1605963301.8735,432,37.00
1605963303.4635,429,37.00
1605963305.1329,430,37.00
1605963306.7906,430,37.00
1605963308.2633,425,37.00
1605963309.8533,415,37.00
1605963311.4433,409,37.00
1605963313.0633,408,37.00
1605963314.6532,410,37.00
1605963316.3539,411,37.00
1605963318.0096,411,37.00
1605963319.4532,412,37.00
1605963321.0433,414,37.00
1605963322.6934,415,37.00
1605963324.2531,417,37.00
1605963325.8630,417,37.00
1605963327.5440,418,37.00
1605963329.0530,419,37.00
1605963330.6430,420,37.00
1605963332.2330,421,37.00
1605963333.8530,422,37.00
1605963335.4728,421,37.00
1605963337.0840,418,37.00
1605963338.7936,417,37.00
1605963340.2430,416,37.00
1605963341.8328,417,37.00
1605963343.4535,417,37.00
1605963345.0428,418,37.00
1605963346.6331,419,37.00
1605963348.2827,419,37.06
1605963349.9837,420,37.00
1605963351.4627,421,37.00
1605963353.0528,421,37.00
1605963354.6429,422,37.00
1605963356.2327,423,37.00
1605963357.8311,424,37.00
1605963359.5450,424,37.00
1605963361.0328,424,37.00
1605963362.6226,424,37.00
1605963364.2427,424,37.00
1605963365.8326,424,37.06
1605963367.4225,424,37.00
1605963369.0643,424,37.00
1605963370.7741,424,37.00
1605963372.2225,425,37.00
1605963374.3793,425,37.00
1605963375.4351,426,37.00