Time,ECG
1605963123.2077,2631
1605963123.2112,5183
1605963123.2138,6606
1605963123.2165,7392
1605963123.2183,8427
1605963123.2203,9233
1605963123.2224,9731
1605963123.2243,10268
1605963123.2264,10759
1605963123.2287,11101
1605963123.2309,11406
1605963123.2329,11713
1605963123.2352,11970
1605963123.2369,12170
1605963123.2383,12360
1605963123.2403,12521
1605963123.2423,12641
1605963123.2443,12758
1605963123.2463,12878
1605963123.2483,12971
1605963123.2503,13044
1605963123.2523,13100
1605963123.2543,13164
1605963123.2563,13225
1605963123.2583,13271
1605963123.2603,13300
1605963123.2622,13339
1605963123.2643,13359
1605963123.2662,13334
1605963123.2682,13320
1605963123.2702,13339
1605963123.2722,13337
1605963123.2742,13322
1605963123.2762,13337
1605963123.2784,13349
1605963123.2802,13317
1605963123.2822,13273
1605963123.2842,13251
1605963123.2862,13237
1605963123.2881,13198
1605963123.2902,13149
1605963123.2922,13107
1605963123.2942,13068
1605963123.2962,12919
1605963123.2982,12526
1605963123.3002,12211
1605963123.3022,12656
1605963123.3042,13537
1605963123.3063,13576
1605963123.3081,12885
1605963123.3103,12619
1605963123.3122,12644
1605963123.3141,12470
1605963123.3162,12377
1605963123.3181,12390
1605963123.3201,12287
1605963123.3221,12170
1605963123.3241,12121
1605963123.3262,12058
1605963123.3281,11962
1605963123.3301,11882
1605963123.3321,11818
1605963123.3341,11748
1605963123.3361,11657
1605963123.3381,11567
1605963123.3401,11494
1605963123.3421,11408
1605963123.3441,11296
1605963123.3462,11201
1605963123.3481,11135
1605963123.3501,11035
1605963123.3521,10917
1605963123.3541,10830
1605963123.7764,10749
1605963123.7773,10651
1605963123.7798,10541
1605963123.7823,10449
1605963123.7843,10383
1605963123.7864,10305
1605963123.7885,10217
1605963123.7904,10146
1605963123.7923,10095
1605963123.7943,10031
1605963123.7965,9948
1605963123.7983,9897
1605963123.8003,9853
1605963123.8023,9782
1605963123.8043,9716
1605963123.8064,9648
1605963123.8083,9570
1605963123.8104,9499
1605963123.8123,9431
1605963123.8143,9348
1605963123.8164,9255
1605963123.8183,9152
1605963123.8203,9057
1605963123.8223,8977
1605963123.8243,8906
1605963123.8263,8828
1605963123.8283,8723
1605963123.8303,8623
1605963123.8325,8547
1605963123.8343,8461
1605963123.8363,8374
1605963123.8383,8295
1605963123.8403,8220
1605963123.8423,8129
1605963123.8443,8049
1605963123.8462,7978
1605963123.8482,7885
1605963123.8502,7792
1605963123.8522,7729
1605963123.8542,7656
1605963123.8563,7575
1605963123.8582,7492
1605963123.8602,7409
1605963123.8623,7336
1605963123.8642,7263
1605963123.8663,7194
1605963123.8682,7119
1605963123.8702,7033
1605963123.8722,6953
1605963123.8742,6882
1605963123.8763,6816
1605963123.8782,6745
1605963123.8802,6660
1605963123.8822,6589
1605963123.8843,6533
1605963123.8863,6459
1605963123.8882,6376
1605963123.8903,6308
1605963123.8922,6237
1605963123.8942,6164
1605963123.8962,6110
1605963123.8982,6059
1605963123.9002,5983
1605963123.9022,5900
1605963123.9042,5817
1605963123.9063,5734
1605963123.9083,5676
1605963123.9102,5632
1605963123.9122,5573
1605963123.9142,5510
1605963123.9163,5461
1605963123.9182,5422
1605963123.9203,5368
1605963124.3467,5302
1605963124.3476,5239
1605963124.3495,5173
1605963124.3515,5114
1605963124.3534,5063
1605963124.3555,5009
1605963124.3576,4936
1605963124.3594,4733
1605963124.3614,4331
1605963124.3634,4104
1605963124.3654,4631
1605963124.3674,5427
1605963124.3694,5310
1605963124.3714,4645
1605963124.3734,4467
1605963124.3754,4511
1605963124.3774,4377
1605963124.3794,4309
1605963124.3814,4296
1605963124.3834,4216
1605963124.3854,4147
1605963124.3874,4113
1605963124.3894,4069
1605963124.3914,4016
1605963124.3934,3974
1605963124.3954,3928
1605963124.3974,3872
1605963124.3994,3815
1605963124.4014,3767
1605963124.4034,3725
1605963124.4054,3686
1605963124.4074,3632
1605963124.4093,3576
1605963124.4113,3525
1605963124.4133,3466
1605963124.4154,3405
1605963124.4173,3364
1605963124.4193,3320
1605963124.4213,3266
1605963124.4233,3215
1605963124.4254,3161
1605963124.4274,3127
1605963124.4293,3107
1605963124.4314,3068
1605963124.4333,3034
1605963124.4354,3020
1605963124.4380,3000
1605963124.4395,2990
1605963124.4413,3000
1605963124.4434,2995
1605963124.4454,2963
1605963124.4473,2939
1605963124.4493,2946
1605963124.4514,2951
1605963124.4533,2915
1605963124.4554,2866
1605963124.4573,2832
1605963124.4595,2800
1605963124.4614,2773
1605963124.4634,2749
1605963124.4654,2712
1605963124.4674,2678
1605963124.4693,2651
1605963124.4713,2624
1605963124.4733,2587
1605963124.4754,2546
1605963124.4773,2514
1605963124.4794,2490
1605963124.4813,2460
1605963124.4833,2434
1605963124.4854,2402
1605963124.4873,2368
1605963124.4893,2341
1605963124.8858,2314
1605963124.8867,2282
1605963124.8893,2258
1605963124.8919,2233
1605963124.8938,2202
1605963124.8957,2180
1605963124.8978,2153
1605963124.8997,2121
1605963124.9017,2106
1605963124.9037,2075
1605963124.9058,2050
1605963124.9077,2031
1605963124.9097,1984
1605963124.9117,1960
1605963124.9137,1962
1605963124.9158,1936
1605963124.9177,1904
1605963124.9197,1882
1605963124.9217,1860
1605963124.9237,1848
1605963124.9258,1828
1605963124.9277,1791
1605963124.9297,1767
1605963124.9317,1762
1605963124.9337,1750
1605963124.9357,1716
1605963124.9377,1696
1605963124.9397,1684
1605963124.9417,1650
1605963124.9437,1625
1605963124.9457,1618
1605963124.9477,1599
1605963124.9497,1579
1605963124.9517,1564
1605963124.9537,1550
1605963124.9559,1535
1605963124.9578,1513
1605963124.9597,1494
1605963124.9617,1467
1605963124.9637,1418
1605963124.9657,1391
1605963124.9677,1408
1605963124.9697,1411
1605963124.9717,1381
1605963124.9737,1372
1605963124.9757,1379
1605963124.9777,1367
1605963124.9797,1352
1605963124.9817,1345
1605963124.9837,1320
1605963124.9857,1298
1605963124.9876,1296
1605963124.9897,1284
1605963124.9917,1262
1605963124.9937,1240
1605963124.9957,1074
1605963124.9977,688
1605963124.9997,534
1605963125.0017,1184
1605963125.0037,1975
1605963125.0057,1789
1605963125.0077,1201
1605963125.0097,1135
1605963125.0117,1201
1605963125.0137,1086
1605963125.0157,1062
1605963125.0177,1101
1605963125.0197,1066
1605963125.0217,1042
1605963125.0237,1044
1605963125.0257,1022
1605963125.0277,996
1605963125.0297,983
1605963125.4266,976
1605963125.4275,964
1605963125.4300,947
1605963125.4326,935
1605963125.4347,920
1605963125.4367,893
1605963125.4386,874
1605963125.4405,871
1605963125.4425,849
1605963125.4445,815
1605963125.4466,805
1605963125.4485,795
1605963125.4505,756
1605963125.4527,720
1605963125.4546,712
1605963125.4566,703
1605963125.4585,686
1605963125.4605,686
1605963125.4625,686
1605963125.4645,671
1605963125.4665,673
1605963125.4685,698
1605963125.4705,712
1605963125.4725,729
1605963125.4745,761
1605963125.4766,778
1605963125.4785,783
1605963125.4805,805
1605963125.4825,822
1605963125.4845,812
1605963125.4865,793
1605963125.4885,788
1605963125.4905,788
1605963125.4925,776
1605963125.4945,766
1605963125.4965,766
1605963125.4985,766
1605963125.5005,761
1605963125.5025,742
1605963125.5045,729
1605963125.5065,727
1605963125.5085,715
1605963125.5105,698
1605963125.5125,698
1605963125.5145,705
1605963125.5165,690
1605963125.5185,673
1605963125.5205,673
1605963125.5225,666
1605963125.5245,656
1605963125.5265,659
1605963125.5285,651
1605963125.5305,637
1605963125.5325,627
1605963125.5345,617
1605963125.5365,620
1605963125.5385,625
1605963125.5405,615
1605963125.5425,605
1605963125.5445,605
1605963125.5466,607
1605963125.5485,593
1605963125.5505,581
1605963125.5526,583
1605963125.5547,578
1605963125.5566,571
1605963125.5585,571
1605963125.5605,571
1605963125.5625,568
1605963125.5645,554
1605963125.5666,541
1605963125.5685,546
1605963125.5705,549
1605963125.9661,544
1605963125.9668,537
1605963125.9684,529
1605963125.9704,522
1605963125.9724,510
1605963125.9744,500
1605963125.9765,507
1605963125.9784,512
1605963125.9804,495
1605963125.9824,480
1605963125.9844,483
1605963125.9864,480
1605963125.9884,471
1605963125.9904,476
1605963125.9924,468
1605963125.9944,454
1605963125.9965,458
1605963125.9984,468
1605963126.0003,461
1605963126.0024,456
1605963126.0044,449
1605963126.0064,419
1605963126.0084,388
1605963126.0104,395
1605963126.0124,419
1605963126.0144,419
1605963126.0164,410
1605963126.0184,412
1605963126.0204,427
1605963126.0224,437
1605963126.0244,437
1605963126.0264,432
1605963126.0284,432
1605963126.0304,427
1605963126.0324,412
1605963126.0344,400
1605963126.0364,407
1605963126.0384,402
1605963126.0404,239
1605963126.0424,-129
1605963126.0443,-290
1605963126.0464,317
1605963126.0485,1135
1605963126.0504,1022
1605963126.0524,437
1605963126.0544,358
1605963126.0564,446
1605963126.0584,341
1605963126.0604,307
1605963126.0624,351
1605963126.0644,334
1605963126.0664,314
1605963126.0684,322
1605963126.0704,310
1605963126.0724,297
1605963126.0744,302
1605963126.0765,300
1605963126.0784,295
1605963126.0804,290
1605963126.0823,263
1605963126.0844,241
1605963126.0864,241
1605963126.0883,251
1605963126.0904,251
1605963126.0923,241
1605963126.0943,239
1605963126.0964,234
1605963126.0984,207
1605963126.1003,180
1605963126.1023,175
1605963126.1044,163
1605963126.1064,148
1605963126.1084,146
1605963126.5666,151
1605963126.5676,153
1605963126.5701,151
1605963126.5727,153
1605963126.5747,166
1605963126.5767,190
1605963126.5787,222
1605963126.5806,253
1605963126.5826,283
1605963126.5846,300
1605963126.5867,319
1605963126.5886,344
1605963126.5906,346
1605963126.5926,344
1605963126.5946,351
1605963126.5965,358
1605963126.5986,354
1605963126.6006,346
1605963126.6026,346
1605963126.6046,346
1605963126.6068,336
1605963126.6086,329
1605963126.6106,319
1605963126.6126,322
1605963126.6146,324
1605963126.6166,310
1605963126.6186,310
1605963126.6206,314
1605963126.6226,297
1605963126.6246,288
1605963126.6266,290
1605963126.6286,285
1605963126.6306,285
1605963126.6326,295
1605963126.6346,295
1605963126.6366,278
1605963126.6386,278
1605963126.6406,290
1605963126.6426,280
1605963126.6446,278
1605963126.6466,290
1605963126.6486,288
1605963126.6506,273
1605963126.6526,278
1605963126.6546,283
1605963126.6566,270
1605963126.6587,263
1605963126.6606,278
1605963126.6626,278
1605963126.6646,263
1605963126.6666,261
1605963126.6686,261
1605963126.6706,266
1605963126.6726,278
1605963126.6746,273
1605963126.6766,266
1605963126.6786,261
1605963126.6807,261
1605963126.6826,251
1605963126.6846,246
1605963126.6866,256
1605963126.6886,258
1605963126.6906,246
1605963126.6926,249
1605963126.6946,249
1605963126.6966,246
1605963126.6986,251
1605963126.7006,258
1605963126.7026,258
1605963126.7046,253
1605963126.7066,236
1605963126.7087,195
1605963126.7107,168
1605963127.1362,190
1605963127.1371,209
1605963127.1397,202
1605963127.1423,197
1605963127.1442,209
1605963127.1463,227
1605963127.1482,241
1605963127.1502,236
1605963127.1522,219
1605963127.1542,212
1605963127.1562,212
1605963127.1581,205
1605963127.1601,205
1605963127.1621,214
1605963127.1641,134
1605963127.1661,-168
1605963127.1681,-480
1605963127.1701,-166
1605963127.1721,739
1605963127.1741,1042
1605963127.1761,468
1605963127.1781,161
1605963127.1801,275
1605963127.1821,219
1605963127.1841,131
1605963127.1862,183
1605963127.1881,192
1605963127.1901,156
1605963127.1921,163
1605963127.1941,173
1605963127.1961,158
1605963127.1981,148
1605963127.2001,144
1605963127.2021,144
1605963127.2041,148
1605963127.2061,141
1605963127.2081,136
1605963127.2101,139
1605963127.2121,131
1605963127.2141,112
1605963127.2161,95
1605963127.2181,85
1605963127.2201,83
1605963127.2221,73
1605963127.2241,65
1605963127.2262,56
1605963127.2281,36
1605963127.2301,26
1605963127.2321,21
1605963127.2343,17
1605963127.2362,24
1605963127.2381,46
1605963127.2401,53
1605963127.2421,58
1605963127.2441,83
1605963127.2461,117
1605963127.2481,148
1605963127.2501,190
1605963127.2521,222
1605963127.2541,229
1605963127.2561,249
1605963127.2581,273
1605963127.2601,278
1605963127.2621,275
1605963127.2641,273
1605963127.2661,270
1605963127.2681,273
1605963127.2701,275
1605963127.2721,261
1605963127.2741,249
1605963127.2762,253
1605963127.2781,249
1605963127.2801,239
1605963127.6759,236
1605963127.6767,229
1605963127.6792,222
1605963127.6813,222
1605963127.6829,222
1605963127.6848,212
1605963127.6867,205
1605963127.6888,214
1605963127.6907,219
1605963127.6927,205
1605963127.6947,192
1605963127.6967,200
1605963127.6987,202
1605963127.7008,202
1605963127.7027,200
1605963127.7048,195
1605963127.7067,200
1605963127.7088,202
1605963127.7096,200
1605963127.7108,200
1605963127.7128,209
1605963127.7148,205
1605963127.7168,190
1605963127.7187,192
1605963127.7207,202
1605963127.7227,200
1605963127.7247,195
1605963127.7270,187
1605963127.7288,175
1605963127.7307,173
1605963127.7327,178
1605963127.7347,183
1605963127.7368,175
1605963127.7387,168
1605963127.7394,173
1605963127.7417,178
1605963127.7438,170
1605963127.7458,163
1605963127.7478,168
1605963127.7497,173
1605963127.7517,168
1605963127.7537,163
1605963127.7558,161
1605963127.7577,168
1605963127.7597,173
1605963127.7617,170
1605963127.7637,168
1605963127.7658,161
1605963127.7677,146
1605963127.7684,129
1605963127.7698,126
