,gsr,temp
1605963124.3353,267918.29835438647,37.0
1605963125.9252,266473.7663956431,37.0
1605963127.5151,265050.28227203875,37.0
1605963129.135,263647.84598357324,37.0
1605963130.725,262266.45753024664,37.06
1605963132.315,260906.116912059,37.0
1605963133.9983,259566.82412901026,37.0
1605963135.5252,258248.57918110045,37.0
1605963137.1151,256951.38206832955,37.0
1605963138.7651,255675.23279069757,37.0
1605963140.3248,254420.1313482045,37.0
1605963141.9148,253186.07774085036,37.0
1605963143.544,251973.07196863517,37.0
1605963145.2215,250781.11403155886,37.0
1605963146.7149,249610.2039296215,37.0
1605963148.3047,248460.34166282302,37.0
1605963149.9248,247331.5272311635,37.0
1605963151.5147,246223.76063464288,37.0
1605963153.1046,245137.04187326116,37.0
1605963154.7536,244071.37094701838,37.0
1605963156.434,243026.74785591452,37.0
1605963157.9047,242003.17259994958,37.0
1605963159.5247,241000.64517912356,37.0
1605963161.1146,240019.16559343645,37.0
1605963162.7046,239058.7338428883,37.0
1605963164.3245,238119.34992747902,37.0
1605963165.9413,237201.01384720867,37.0
1605963167.5046,236303.72560207726,37.0
1605963169.1247,235427.48519208474,37.0
1605963170.7146,234572.29261723117,37.0
1605963172.3044,233738.14787751652,37.0
1605963173.8944,232925.05097294078,37.06
1605963175.5143,232133.00190350396,37.06
1605963177.1937,231362.00066920606,37.0
1605963178.6945,230612.04727004707,37.0
1605963183.6376,229883.141706027,37.06
1605963183.6414,229175.28397714585,37.0
1605963183.6445,228488.47408340365,37.0
1605963185.1487,227822.7120248003,37.06
1605963186.7819,227177.99780133594,37.0
1605963188.4859,226554.33141301048,37.0
1605963189.9153,225951.71285982392,37.0
1605963191.6605,225370.14214177628,37.06
1605963193.0951,224809.61925886758,37.0
1605963194.7152,224270.1442110978,37.0
1605963196.305,223751.71699846693,37.06
1605963197.9789,223254.33762097498,37.0
1605963199.6311,222778.00607862195,37.06
1605963201.105,222322.72237140784,37.06
1605963202.695,221888.48649933265,37.0
1605963204.285,221475.2984623647,37.0
1605963205.9049,221382.2545299967,37.0
1605963207.5206,221366.7984143079,37.0
1605963209.1669,221430.64653899416,37.0
1605963210.7049,221575.51532775137,37.0
1605963212.295,221803.12120427558,37.0
1605963213.8849,222156.68854467213,37.06
1605963215.5348,222522.05863094734,37.0
1605963217.0948,222896.32282384738,37.0
1605963218.7338,223084.66163623406,37.0
1605963220.4502,223284.6341854164,37.0
1605963221.9009,223389.1723027397,37.0
1605963223.4845,223573.94317735115,37.06
1605963225.1047,223701.04066657464,37.0
1605963226.6948,223977.99230764704,37.0
1605963228.2847,224452.0250636533,37.0
1605963229.9379,225186.08413472722,37.06
1605963231.6502,225827.70156092185,37.0
1605963233.0845,226218.1790574601,37.0
1605963234.6745,226556.71585560596,37.06
1605963236.2946,226800.07221931315,37.0
1605963237.8845,227068.754371382,37.0
1605963239.5021,227210.43417998304,37.0
1605963241.1893,227239.27145296364,37.0
1605963242.845,227235.71280989054,37.0
1605963244.2745,227042.52132987537,37.06
1605963245.8944,226684.58551752236,37.0
1605963247.4843,226203.46002270133,37.0
1605963249.0743,225678.12276652482,37.0
1605963250.6942,225116.25628721216,37.0
1605963252.3712,224483.98292142534,37.0
1605963253.8743,223826.09107069173,37.0
1605963255.4644,223222.06329476848,37.0
1605963257.0842,222739.79274643707,37.0
1605963258.674,222305.4604302877,37.0
1605963260.2641,221921.13763472973,37.0
1605963261.9727,221526.46970275152,37.0
1605963263.5972,221114.9669258475,37.0
1605963265.0641,220655.2179738998,37.0
1605963266.684,220150.82829983163,37.0
1605963268.2739,219687.3143764581,37.0
1605963269.8941,219188.2328484116,37.0
1605963271.5228,218706.5506720384,37.0
1605963273.1312,218236.6750748432,37.0
1605963274.6638,217794.72943880424,37.0
1605963276.2839,217338.73102283187,37.0
1605963277.8741,216872.4683024091,37.0
1605963279.4638,216489.36359669518,37.0
1605963281.0539,216040.91157834898,37.0
1605963282.6922,215571.23583605824,37.0
1605963284.3567,215125.5817037448,37.0
1605963285.8538,214704.53503320087,37.0
1605963287.4737,214357.9903107861,37.0
1605963289.0638,213992.65733402054,37.0
1605963290.6536,213653.7814368261,37.0
1605963292.2736,213209.09611979104,37.0
1605963293.8876,212652.4672959096,37.0
1605963295.4536,211982.48429718352,37.0
1605963297.0736,211749.66997447386,37.06
1605963298.6636,211520.43959181642,37.0
1605963300.2535,211294.79314924157,37.0
1605963301.8735,211072.73064674932,37.0
1605963303.4635,210854.2520843397,37.0
1605963305.1329,210639.3574620127,37.0
1605963306.7906,210428.0467797683,37.0
1605963308.2633,210220.32003760652,37.0
1605963309.8533,210016.17723552734,37.0
1605963311.4433,209815.61837353077,37.0
1605963313.0633,209618.6434516168,37.0
1605963314.6532,209425.25246978545,37.0
1605963316.3539,209235.44542803674,37.0
1605963318.0096,209049.22232637063,37.0
1605963319.4532,208866.58316478712,37.0
1605963321.0433,208687.52794328623,37.0
1605963322.6934,208512.05666186794,37.0
1605963324.2531,208340.16932053227,37.0
1605963325.863,208171.8659192792,37.0
1605963327.544,208007.14645810873,37.0
1605963329.053,207846.0109370209,37.0
1605963330.643,207688.4593560157,37.0
1605963332.233,207534.49171509306,37.0
1605963333.853,207384.10801425306,37.0
1605963335.4728,207237.30825349566,37.0
1605963337.084,207094.09243282088,37.0
1605963338.7936,206954.46055222873,37.0
1605963340.243,206818.41261171916,37.0
1605963341.8328,206685.94861129223,37.0
1605963343.4535,206557.06855094788,37.0
1605963345.0428,206431.77243068616,37.0
1605963346.6331,206310.06025050706,37.0
1605963348.2827,206191.93201041056,37.06
1605963349.9837,206077.38771039667,37.0
1605963351.4627,205966.42735046538,37.0
1605963353.0528,205859.05093061674,37.0
1605963354.6429,205755.25845085067,37.0
1605963356.2327,205655.04991116724,37.0
1605963357.8311,205558.4253115664,37.0
1605963359.545,205465.38465204817,37.0
1605963361.0328,205375.92793261257,37.0
1605963362.6226,205290.05515325957,37.0
1605963364.2427,205207.76631398918,37.0
1605963365.8326,205129.0614148014,37.06
