,ecg
1605963123.2077,2631.0
1605963123.2112,5183.0
1605963123.2138,6606.0
1605963123.2165,7392.0
1605963123.2183,8427.0
1605963123.2203,9233.0
1605963123.2224,9731.0
1605963123.2243,10268.0
1605963123.2264,10759.0
1605963123.2287,11101.0
1605963123.2309,11406.0
1605963123.2329,11713.0
1605963123.2352,11970.0
1605963123.2369,12170.0
1605963123.2383,12360.0
1605963123.2403,12521.0
1605963123.2423,12641.0
1605963123.2443,12758.0
1605963123.2463,12878.0
1605963123.2483,12971.0
1605963123.2503,13044.0
1605963123.2523,13100.0
1605963123.2543,13164.0
1605963123.2563,13225.0
1605963123.2583,13271.0
1605963123.2603,13300.0
1605963123.2622,13339.0
1605963123.2643,13359.0
1605963123.2662,13334.0
1605963123.2682,13320.0
1605963123.2702,13339.0
1605963123.2722,13337.0
1605963123.2742,13322.0
1605963123.2762,13337.0
1605963123.2784,13349.0
1605963123.2802,13317.0
1605963123.2822,13273.0
1605963123.2842,13251.0
1605963123.2862,13237.0
1605963123.2881,13198.0
1605963123.2902,13149.0
1605963123.2922,13107.0
1605963123.2942,13068.0
1605963123.2962,12919.0
1605963123.2982,12526.0
1605963123.3002,12211.0
1605963123.3022,12656.0
1605963123.3042,13537.0
1605963123.3063,13576.0
1605963123.3081,12885.0
1605963123.3103,12619.0
1605963123.3122,12644.0
1605963123.3141,12470.0
1605963123.3162,12377.0
1605963123.3181,12390.0
1605963123.3201,12287.0
1605963123.3221,12170.0
1605963123.3241,12121.0
1605963123.3262,12058.0
1605963123.3281,11962.0
1605963123.3301,11882.0
1605963123.3321,11818.0
1605963123.3341,11748.0
1605963123.3361,11657.0
1605963123.3381,11567.0
1605963123.3401,11494.0
1605963123.3421,11408.0
1605963123.3441,11296.0
1605963123.3462,11201.0
1605963123.3481,11135.0
1605963123.3501,11035.0
1605963123.3521,10917.0
1605963123.3541,10830.0
1605963123.7764,10749.0
1605963123.7773,10651.0
1605963123.7798,10541.0
1605963123.7823,10449.0
1605963123.7843,10383.0
1605963123.7864,10305.0
1605963123.7885,10217.0
1605963123.7904,10146.0
1605963123.7923,10095.0
1605963123.7943,10031.0
1605963123.7965,9948.0
1605963123.7983,9897.0
1605963123.8003,9853.0
1605963123.8023,9782.0
1605963123.8043,9716.0
1605963123.8064,9648.0
1605963123.8083,9570.0
1605963123.8104,9499.0
1605963123.8123,9431.0
1605963123.8143,9348.0
1605963123.8164,9255.0
1605963123.8183,9152.0
1605963123.8203,9057.0
1605963123.8223,8977.0
1605963123.8243,8906.0
1605963123.8263,8828.0
1605963123.8283,8723.0
1605963123.8303,8623.0
1605963123.8325,8547.0
1605963123.8343,8461.0
1605963123.8363,8374.0
1605963123.8383,8295.0
1605963123.8403,8220.0
1605963123.8423,8129.0
1605963123.8443,8049.0
1605963123.8462,7978.0
1605963123.8482,7885.0
1605963123.8502,7792.0
1605963123.8522,7729.0
1605963123.8542,7656.0
1605963123.8563,7575.0
1605963123.8582,7492.0
1605963123.8602,7409.0
1605963123.8623,7336.0
1605963123.8642,7263.0
1605963123.8663,7194.0
1605963123.8682,7119.0
1605963123.8702,7033.0
1605963123.8722,6953.0
1605963123.8742,6882.0
1605963123.8763,6816.0
1605963123.8782,6745.0
1605963123.8802,6660.0
1605963123.8822,6589.0
1605963123.8843,6533.0
1605963123.8863,6459.0
1605963123.8882,6376.0
1605963123.8903,6308.0
1605963123.8922,6237.0
1605963123.8942,6164.0
1605963123.8962,6110.0
1605963123.8982,6059.0
1605963123.9002,5983.0
1605963123.9022,5900.0
1605963123.9042,5817.0
1605963123.9063,5734.0
1605963123.9083,5676.0
1605963123.9102,5632.0
1605963123.9122,5573.0
1605963123.9142,5510.0
1605963123.9163,5461.0
1605963123.9182,5422.0
1605963123.9203,5368.0
1605963124.3467,5302.0
1605963124.3476,5239.0
1605963124.3495,5173.0
1605963124.3515,5114.0
1605963124.3534,5063.0
1605963124.3555,5009.0
1605963124.3576,4936.0
1605963124.3594,4733.0
1605963124.3614,4331.0
1605963124.3634,4104.0
1605963124.3654,4631.0
1605963124.3674,5427.0
1605963124.3694,5310.0
1605963124.3714,4645.0
1605963124.3734,4467.0
1605963124.3754,4511.0
1605963124.3774,4377.0
1605963124.3794,4309.0
1605963124.3814,4296.0
1605963124.3834,4216.0
1605963124.3854,4147.0
1605963124.3874,4113.0
1605963124.3894,4069.0
1605963124.3914,4016.0
1605963124.3934,3974.0
1605963124.3954,3928.0
1605963124.3974,3872.0
1605963124.3994,3815.0
1605963124.4014,3767.0
1605963124.4034,3725.0
1605963124.4054,3686.0
1605963124.4074,3632.0
1605963124.4093,3576.0
1605963124.4113,3525.0
1605963124.4133,3466.0
1605963124.4154,3405.0
1605963124.4173,3364.0
1605963124.4193,3320.0
1605963124.4213,3266.0
1605963124.4233,3215.0
1605963124.4254,3161.0
1605963124.4274,3127.0
1605963124.4293,3107.0
1605963124.4314,3068.0
1605963124.4333,3034.0
1605963124.4354,3020.0
1605963124.438,3000.0
1605963124.4395,2990.0
1605963124.4413,3000.0
1605963124.4434,2995.0
1605963124.4454,2963.0
1605963124.4473,2939.0
1605963124.4493,2946.0
1605963124.4514,2951.0
1605963124.4533,2915.0
1605963124.4554,2866.0
1605963124.4573,2832.0
1605963124.4595,2800.0
1605963124.4614,2773.0
1605963124.4634,2749.0
1605963124.4654,2712.0
1605963124.4674,2678.0
1605963124.4693,2651.0
1605963124.4713,2624.0
1605963124.4733,2587.0
1605963124.4754,2546.0
1605963124.4773,2514.0
1605963124.4794,2490.0
1605963124.4813,2460.0
1605963124.4833,2434.0
1605963124.4854,2402.0
1605963124.4873,2368.0
1605963124.4893,2341.0
1605963124.8858,2314.0
1605963124.8867,2282.0
1605963124.8893,2258.0
1605963124.8919,2233.0
1605963124.8938,2202.0
1605963124.8957,2180.0
1605963124.8978,2153.0
1605963124.8997,2121.0
1605963124.9017,2106.0
1605963124.9037,2075.0
1605963124.9058,2050.0
1605963124.9077,2031.0
1605963124.9097,1984.0
1605963124.9117,1960.0
1605963124.9137,1962.0
1605963124.9158,1936.0
1605963124.9177,1904.0
1605963124.9197,1882.0
1605963124.9217,1860.0
1605963124.9237,1848.0
1605963124.9258,1828.0
1605963124.9277,1791.0
1605963124.9297,1767.0
1605963124.9317,1762.0
1605963124.9337,1750.0
1605963124.9357,1716.0
1605963124.9377,1696.0
1605963124.9397,1684.0
1605963124.9417,1650.0
1605963124.9437,1625.0
1605963124.9457,1618.0
1605963124.9477,1599.0
1605963124.9497,1579.0
1605963124.9517,1564.0
1605963124.9537,1550.0
1605963124.9559,1535.0
1605963124.9578,1513.0
1605963124.9597,1494.0
1605963124.9617,1467.0
1605963124.9637,1418.0
1605963124.9657,1391.0
1605963124.9677,1408.0
1605963124.9697,1411.0
1605963124.9717,1381.0
1605963124.9737,1372.0
1605963124.9757,1379.0
1605963124.9777,1367.0
1605963124.9797,1352.0
1605963124.9817,1345.0
1605963124.9837,1320.0
1605963124.9857,1298.0
1605963124.9876,1296.0
1605963124.9897,1284.0
1605963124.9917,1262.0
1605963124.9937,1240.0
1605963124.9957,1074.0
1605963124.9977,688.0
1605963124.9997,534.0
1605963125.0017,1184.0
1605963125.0037,1975.0
1605963125.0057,1789.0
1605963125.0077,1201.0
1605963125.0097,1135.0
1605963125.0117,1201.0
1605963125.0137,1086.0
1605963125.0157,1062.0
1605963125.0177,1101.0
1605963125.0197,1066.0
1605963125.0217,1042.0
1605963125.0237,1044.0
1605963125.0257,1022.0
1605963125.0277,996.0
1605963125.0297,983.0
1605963125.4266,976.0
1605963125.4275,964.0
1605963125.43,947.0
1605963125.4326,935.0
1605963125.4347,920.0
1605963125.4367,893.0
1605963125.4386,874.0
1605963125.4405,871.0
1605963125.4425,849.0
1605963125.4445,815.0
1605963125.4466,805.0
1605963125.4485,795.0
1605963125.4505,756.0
1605963125.4527,720.0
1605963125.4546,712.0
1605963125.4566,703.0
1605963125.4585,686.0
1605963125.4605,686.0
1605963125.4625,686.0
1605963125.4645,671.0
1605963125.4665,673.0
1605963125.4685,698.0
1605963125.4705,712.0
1605963125.4725,729.0
1605963125.4745,761.0
1605963125.4766,778.0
1605963125.4785,783.0
1605963125.4805,805.0
1605963125.4825,822.0
1605963125.4845,812.0
1605963125.4865,793.0
1605963125.4885,788.0
1605963125.4905,788.0
1605963125.4925,776.0
1605963125.4945,766.0
1605963125.4965,766.0
1605963125.4985,766.0
1605963125.5005,761.0
1605963125.5025,742.0
1605963125.5045,729.0
1605963125.5065,727.0
1605963125.5085,715.0
1605963125.5105,698.0
1605963125.5125,698.0
1605963125.5145,705.0
1605963125.5165,690.0
1605963125.5185,673.0
1605963125.5205,673.0
1605963125.5225,666.0
1605963125.5245,656.0
1605963125.5265,659.0
1605963125.5285,651.0
1605963125.5305,637.0
1605963125.5325,627.0
1605963125.5345,617.0
1605963125.5365,620.0
1605963125.5385,625.0
1605963125.5405,615.0
1605963125.5425,605.0
1605963125.5445,605.0
1605963125.5466,607.0
1605963125.5485,593.0
1605963125.5505,581.0
1605963125.5526,583.0
1605963125.5547,578.0
1605963125.5566,571.0
1605963125.5585,571.0
1605963125.5605,571.0
1605963125.5625,568.0
1605963125.5645,554.0
1605963125.5666,541.0
1605963125.5685,546.0
1605963125.5705,549.0
1605963125.9661,544.0
1605963125.9668,537.0
1605963125.9684,529.0
1605963125.9704,522.0
1605963125.9724,510.0
1605963125.9744,500.0
1605963125.9765,507.0
1605963125.9784,512.0
1605963125.9804,495.0
1605963125.9824,480.0
1605963125.9844,483.0
1605963125.9864,480.0
1605963125.9884,471.0
1605963125.9904,476.0
1605963125.9924,468.0
1605963125.9944,454.0
1605963125.9965,458.0
1605963125.9984,468.0
1605963126.0003,461.0
1605963126.0024,456.0
1605963126.0044,449.0
1605963126.0064,419.0
1605963126.0084,388.0
1605963126.0104,395.0
1605963126.0124,419.0
1605963126.0144,419.0
1605963126.0164,410.0
1605963126.0184,412.0
1605963126.0204,427.0
1605963126.0224,437.0
1605963126.0244,437.0
1605963126.0264,432.0
1605963126.0284,432.0
1605963126.0304,427.0
1605963126.0324,412.0
1605963126.0344,400.0
1605963126.0364,407.0
1605963126.0384,402.0
1605963126.0404,239.0
1605963126.0424,-129.0
1605963126.0443,-290.0
1605963126.0464,317.0
1605963126.0485,1135.0
1605963126.0504,1022.0
1605963126.0524,437.0
1605963126.0544,358.0
1605963126.0564,446.0
1605963126.0584,341.0
1605963126.0604,307.0
1605963126.0624,351.0
1605963126.0644,334.0
1605963126.0664,314.0
1605963126.0684,322.0
1605963126.0704,310.0
1605963126.0724,297.0
1605963126.0744,302.0
1605963126.0765,300.0
1605963126.0784,295.0
1605963126.0804,290.0
1605963126.0823,263.0
1605963126.0844,241.0
1605963126.0864,241.0
1605963126.0883,251.0
1605963126.0904,251.0
1605963126.0923,241.0
1605963126.0943,239.0
1605963126.0964,234.0
1605963126.0984,207.0
1605963126.1003,180.0
1605963126.1023,175.0
1605963126.1044,163.0
1605963126.1064,148.0
1605963126.1084,146.0
1605963126.5666,151.0
1605963126.5676,153.0
1605963126.5701,151.0
1605963126.5727,153.0
1605963126.5747,166.0
1605963126.5767,190.0
1605963126.5787,222.0
1605963126.5806,253.0
1605963126.5826,283.0
1605963126.5846,300.0
1605963126.5867,319.0
1605963126.5886,344.0
1605963126.5906,346.0
1605963126.5926,344.0
1605963126.5946,351.0
1605963126.5965,358.0
1605963126.5986,354.0
1605963126.6006,346.0
1605963126.6026,346.0
1605963126.6046,346.0
1605963126.6068,336.0
1605963126.6086,329.0
1605963126.6106,319.0
1605963126.6126,322.0
1605963126.6146,324.0
1605963126.6166,310.0
1605963126.6186,310.0
1605963126.6206,314.0
1605963126.6226,297.0
1605963126.6246,288.0
1605963126.6266,290.0
1605963126.6286,285.0
1605963126.6306,285.0
1605963126.6326,295.0
1605963126.6346,295.0
1605963126.6366,278.0
1605963126.6386,278.0
1605963126.6406,290.0
1605963126.6426,280.0
1605963126.6446,278.0
1605963126.6466,290.0
1605963126.6486,288.0
1605963126.6506,273.0
1605963126.6526,278.0
1605963126.6546,283.0
1605963126.6566,270.0
1605963126.6587,263.0
1605963126.6606,278.0
1605963126.6626,278.0
1605963126.6646,263.0
1605963126.6666,261.0
1605963126.6686,261.0
1605963126.6706,266.0
1605963126.6726,278.0
1605963126.6746,273.0
1605963126.6766,266.0
1605963126.6786,261.0
1605963126.6807,261.0
1605963126.6826,251.0
1605963126.6846,246.0
1605963126.6866,256.0
1605963126.6886,258.0
1605963126.6906,246.0
1605963126.6926,249.0
1605963126.6946,249.0
1605963126.6966,246.0
1605963126.6986,251.0
1605963126.7006,258.0
1605963126.7026,258.0
1605963126.7046,253.0
1605963126.7066,236.0
1605963126.7087,195.0
1605963126.7107,168.0
1605963127.1362,190.0
1605963127.1371,209.0
1605963127.1397,202.0
1605963127.1423,197.0
1605963127.1442,209.0
1605963127.1463,227.0
1605963127.1482,241.0
1605963127.1502,236.0
1605963127.1522,219.0
1605963127.1542,212.0
1605963127.1562,212.0
1605963127.1581,205.0
1605963127.1601,205.0
1605963127.1621,214.0
1605963127.1641,134.0
1605963127.1661,-168.0
1605963127.1681,-480.0
1605963127.1701,-166.0
1605963127.1721,739.0
1605963127.1741,1042.0
1605963127.1761,468.0
1605963127.1781,161.0
1605963127.1801,275.0
1605963127.1821,219.0
1605963127.1841,131.0
1605963127.1862,183.0
1605963127.1881,192.0
1605963127.1901,156.0
1605963127.1921,163.0
1605963127.1941,173.0
1605963127.1961,158.0
1605963127.1981,148.0
1605963127.2001,144.0
1605963127.2021,144.0
1605963127.2041,148.0
1605963127.2061,141.0
1605963127.2081,136.0
1605963127.2101,139.0
1605963127.2121,131.0
1605963127.2141,112.0
1605963127.2161,95.0
1605963127.2181,85.0
1605963127.2201,83.0
1605963127.2221,73.0
1605963127.2241,65.0
1605963127.2262,56.0
1605963127.2281,36.0
1605963127.2301,26.0
1605963127.2321,21.0
1605963127.2343,17.0
1605963127.2362,24.0
1605963127.2381,46.0
1605963127.2401,53.0
1605963127.2421,58.0
1605963127.2441,83.0
1605963127.2461,117.0
1605963127.2481,148.0
1605963127.2501,190.0
1605963127.2521,222.0
1605963127.2541,229.0
1605963127.2561,249.0
1605963127.2581,273.0
1605963127.2601,278.0
1605963127.2621,275.0
1605963127.2641,273.0
1605963127.2661,270.0
1605963127.2681,273.0
1605963127.2701,275.0
1605963127.2721,261.0
1605963127.2741,249.0
1605963127.2762,253.0
1605963127.2781,249.0
1605963127.2801,239.0
1605963127.6759,236.0
1605963127.6767,229.0
1605963127.6792,222.0
1605963127.6813,222.0
1605963127.6829,222.0
1605963127.6848,212.0
1605963127.6867,205.0
1605963127.6888,214.0
1605963127.6907,219.0
1605963127.6927,205.0
1605963127.6947,192.0
1605963127.6967,200.0
1605963127.6987,202.0
1605963127.7008,202.0
1605963127.7027,200.0
1605963127.7048,195.0
1605963127.7067,200.0
1605963127.7088,202.0
1605963127.7096,200.0
1605963127.7108,200.0
1605963127.7128,209.0
1605963127.7148,205.0
1605963127.7168,190.0
1605963127.7187,192.0
1605963127.7207,202.0
1605963127.7227,200.0
1605963127.7247,195.0
1605963127.727,187.0
1605963127.7288,175.0
1605963127.7307,173.0
1605963127.7327,178.0
1605963127.7347,183.0
1605963127.7368,175.0
1605963127.7387,168.0
1605963127.7394,173.0
1605963127.7417,178.0
1605963127.7438,170.0
1605963127.7458,163.0
1605963127.7478,168.0
1605963127.7497,173.0
1605963127.7517,168.0
1605963127.7537,163.0
1605963127.7558,161.0
1605963127.7577,168.0
1605963127.7597,173.0
1605963127.7617,170.0
1605963127.7637,168.0
1605963127.7658,161.0
1605963127.7677,146.0
1605963127.7684,129.0
1605963127.7698,126.0
1605963127.7717,148.0
1605963127.7737,151.0
1605963127.7758,129.0
1605963127.7777,139.0
1605963127.7797,168.0
1605963127.7817,168.0
1605963127.7837,166.0
1605963127.7858,168.0
1605963127.7877,163.0
1605963127.7897,156.0
1605963127.7917,153.0
1605963127.7937,156.0
1605963127.7958,153.0
1605963127.7977,31.0
1605963127.7984,-307.0
1605963127.8007,-529.0
1605963127.8027,-24.0
1605963127.8047,827.0
1605963127.8067,859.0
1605963127.8089,280.0
1605963127.8107,131.0
1605963127.8127,227.0
1605963128.2459,131.0
1605963128.2466,90.0
1605963128.2489,151.0
1605963128.2516,141.0
1605963128.2536,112.0
1605963128.2558,126.0
1605963128.2564,122.0
1605963128.2586,102.0
1605963128.2606,109.0
1605963128.2625,109.0
1605963128.2645,92.0
1605963128.2666,90.0
1605963128.2685,92.0
1605963128.2706,83.0
1605963128.2725,75.0
1605963128.2745,75.0
1605963128.2766,65.0
1605963128.2785,53.0
1605963128.2805,43.0
1605963128.2825,36.0
1605963128.2845,31.0
1605963128.2866,19.0
1605963128.2872,2.0
1605963128.2895,-7.0
1605963128.2915,-7.0
1605963128.2936,-7.0
1605963128.2956,-12.0
1605963128.2975,-9.0
1605963128.2995,4.0
1605963128.3015,17.0
1605963128.3036,21.0
1605963128.3056,39.0
1605963128.3076,78.0
1605963128.3096,114.0
1605963128.3115,141.0
1605963128.3135,161.0
1605963128.3156,185.0
1605963128.3175,200.0
1605963128.3182,209.0
1605963128.3205,219.0
1605963128.3225,231.0
1605963128.3245,231.0
1605963128.3266,217.0
1605963128.3285,214.0
1605963128.3305,224.0
1605963128.3326,224.0
1605963128.3345,217.0
1605963128.3366,207.0
1605963128.3385,195.0
1605963128.3405,190.0
1605963128.3425,183.0
1605963128.3446,173.0
1605963128.3466,175.0
1605963128.3485,173.0
1605963128.3492,168.0
1605963128.3505,168.0
1605963128.3527,170.0
1605963128.3546,175.0
1605963128.3565,173.0
1605963128.3585,166.0
1605963128.3605,166.0
1605963128.3625,166.0
1605963128.3645,161.0
1605963128.3666,158.0
1605963128.3685,166.0
1605963128.3705,173.0
1605963128.3725,168.0
1605963128.3745,166.0
1605963128.3766,166.0
1605963128.3785,161.0
1605963128.3792,166.0
1605963128.3815,168.0
1605963128.3835,163.0
1605963128.7862,166.0
1605963128.787,173.0
1605963128.7895,163.0
1605963128.7921,151.0
1605963128.794,156.0
1605963128.7961,153.0
1605963128.7981,141.0
1605963128.8,134.0
1605963128.802,129.0
1605963128.804,122.0
1605963128.8061,126.0
1605963128.8067,131.0
1605963128.809,126.0
1605963128.811,129.0
1605963128.813,134.0
1605963128.815,124.0
1605963128.8171,114.0
1605963128.819,129.0
1605963128.821,141.0
1605963128.823,122.0
1605963128.825,109.0
1605963128.827,107.0
1605963128.829,87.0
1605963128.831,92.0
1605963128.833,114.0
1605963128.835,114.0
1605963128.8357,109.0
1605963128.837,117.0
1605963128.839,136.0
1605963128.841,148.0
1605963128.843,146.0
1605963128.845,139.0
1605963128.847,134.0
1605963128.849,134.0
1605963128.8511,129.0
1605963128.8531,119.0
1605963128.855,34.0
1605963128.857,-263.0
1605963128.859,-541.0
1605963128.861,-178.0
1605963128.863,695.0
1605963128.865,925.0
1605963128.8657,346.0
1605963128.868,68.0
1605963128.87,185.0
1605963128.872,129.0
1605963128.874,58.0
1605963128.876,109.0
1605963128.878,112.0
1605963128.88,80.0
1605963128.882,85.0
1605963128.884,87.0
1605963128.886,83.0
1605963128.888,83.0
1605963128.89,85.0
1605963128.892,80.0
1605963128.894,75.0
1605963128.896,73.0
1605963128.8967,68.0
1605963128.898,58.0
1605963128.9,46.0
1605963128.902,48.0
1605963128.904,53.0
1605963128.906,41.0
1605963128.908,29.0
1605963128.91,24.0
1605963128.912,7.0
1605963128.914,-12.0
1605963128.916,-21.0
1605963128.918,-24.0
1605963128.92,-24.0
1605963128.922,-26.0
1605963128.924,-19.0
