,hr,rr
1605963123.473,75.0,795.0
1605963124.4919,76.0,388.0
1605963125.573,77.0,362.0
1605963126.473,78.0,864.0
1605963127.463,78.0,951.0
1605963128.4828,77.0,1015.0
1605963129.5026,76.0,963.0
1605963130.4629,75.0,966.0
1605963131.4828,72.0,930.0
1605963132.4728,71.0,870.0
1605963133.4627,71.0,832.0
1605963134.5646,72.0,803.0
1605963135.473,72.0,776.0
1605963136.4627,73.0,786.0
1605963137.4827,73.0,788.0
1605963138.4727,74.0,798.0
1605963139.5821,74.0,841.0
1605963140.4827,74.0,848.0
1605963141.4727,74.0,834.0
1605963142.4626,74.0,829.0
1605963143.5424,74.0,806.0
1605963144.4727,74.0,785.0
1605963145.4625,75.0,780.0
1605963146.5126,75.0,783.0
1605963147.4725,76.0,769.0
1605963148.5791,76.0,756.0
1605963149.4826,77.0,766.0
1605963150.4724,77.0,819.0
1605963151.4624,77.0,810.0
1605963152.507,77.0,846.0
1605963153.4728,77.0,877.0
1605963154.4625,75.0,880.0
1605963155.4824,75.0,858.0
1605963156.4723,74.0,837.0
1605963157.5723,74.0,825.0
1605963158.4827,74.0,810.0
1605963159.4724,75.0,804.0
1605963160.4622,75.0,834.0
1605963161.4823,75.0,839.0
1605963162.5811,75.0,819.0
1605963163.4624,74.0,855.0
1605963164.4823,74.0,875.0
1605963165.4723,74.0,894.0
1605963166.5122,73.0,920.0
1605963167.4823,73.0,930.0
1605963168.4723,72.0,892.0
1605963169.4622,71.0,878.0
1605963170.4821,71.0,818.0
1605963171.582,72.0,786.0
1605963172.4623,72.0,795.0
1605963173.4821,73.0,814.0
1605963174.4721,73.0,868.0
1605963175.492,73.0,870.0
1605963176.5917,73.0,894.0
1605963177.5322,72.0,901.0
1605963178.462,72.0,906.0
1605963179.512,72.0,896.0
1605963183.81,71.0,896.0
1605963183.8154,71.0,878.0
1605963183.821,71.0,866.0
1605963183.8263,71.0,863.0
1605963184.9717,71.0,872.0
1605963185.7356,71.0,891.0
1605963186.4742,70.0,868.0
1605963187.4788,70.0,852.0
1605963188.4919,70.0,830.0
1605963189.5903,71.0,790.0
1605963190.4641,72.0,812.0
1605963191.6745,72.0,787.0
1605963192.4893,73.0,803.0
1605963193.4635,74.0,818.0
1605963194.62,74.0,850.0
1605963195.4739,73.0,835.0
1605963196.4633,73.0,838.0
1605963197.4834,73.0,860.0
1605963198.5472,73.0,865.0
1605963199.4635,73.0,858.0
1605963200.4836,73.0,866.0
1605963201.4735,73.0,865.0
1605963202.4934,73.0,858.0
1605963203.5623,72.0,867.0
1605963204.4735,72.0,882.0
1605963205.4637,72.0,867.0
1605963206.4835,72.0,862.0
1605963207.5157,72.0,854.0
1605963208.6274,72.0,860.0
1605963209.4868,72.0,795.0
1605963210.4734,72.0,789.0
1605963211.4636,73.0,827.0
1605963212.5554,73.0,866.0
1605963213.4734,73.0,857.0
1605963214.4646,73.0,818.0
1605963215.4832,73.0,835.0
1605963216.4733,73.0,840.0
1605963217.6276,73.0,797.0
1605963218.4833,74.0,796.0
1605963219.4732,74.0,814.0
1605963220.4656,74.0,829.0
1605963221.525,74.0,818.0
1605963222.5059,74.0,851.0
1605963223.4633,74.0,889.0
1605963224.4832,74.0,912.0
1605963225.4732,73.0,916.0
1605963226.6001,73.0,894.0
1605963227.4832,72.0,890.0
1605963228.4735,72.0,881.0
1605963229.463,71.0,868.0
1605963230.5129,71.0,828.0
1605963231.645,71.0,843.0
1605963232.4632,72.0,836.0
1605963233.4831,72.0,801.0
1605963234.473,73.0,796.0
1605963235.5692,74.0,767.0
1605963236.4828,74.0,772.0
1605963237.5029,75.0,757.0
1605963238.463,76.0,738.0
1605963239.5059,77.0,736.0
1605963240.6384,78.0,738.0
1605963241.4633,79.0,733.0
1605963242.4829,79.0,739.0
1605963243.4729,80.0,744.0
1605963244.5399,80.0,761.0
1605963245.5128,80.0,748.0
1605963246.4729,81.0,706.0
1605963247.4653,82.0,690.0
1605963248.4928,83.0,669.0
1605963249.5799,85.0,666.0
1605963250.4627,86.0,678.0
1605963251.4828,87.0,664.0
1605963252.4726,88.0,642.0
1605963253.492,90.0,646.0
1605963254.4828,90.0,719.0
1605963255.4725,90.0,765.0
1605963256.463,88.0,788.0
1605963257.4828,86.0,842.0
1605963258.5488,84.0,854.0
1605963259.4627,83.0,859.0
1605963260.4825,82.0,841.0
1605963261.4728,80.0,808.0
1605963262.4825,80.0,805.0
1605963263.5923,79.0,853.0
1605963264.4727,79.0,872.0
1605963265.4625,78.0,875.0
1605963266.4824,77.0,917.0
1605963267.5519,76.0,939.0
1605963268.4626,75.0,950.0
1605963269.4829,73.0,932.0
1605963270.4726,73.0,915.0
1605963271.518,72.0,895.0
1605963272.594,72.0,869.0
1605963273.4725,71.0,863.0
1605963274.4625,71.0,871.0
1605963275.4824,71.0,845.0
1605963276.4888,71.0,851.0
1605963277.6088,71.0,861.0
1605963278.5125,72.0,852.0
1605963279.5019,72.0,835.0
1605963280.4922,72.0,816.0
1605963281.5656,72.0,813.0
1605963282.5107,73.0,793.0
1605963283.4622,73.0,829.0
1605963284.482,74.0,838.0
1605963285.519,74.0,852.0
1605963286.5997,74.0,878.0
1605963287.483,73.0,893.0
1605963288.4725,72.0,900.0
1605963289.4623,72.0,877.0
1605963290.5274,72.0,870.0
1605963291.4721,72.0,880.0
1605963292.4621,72.0,874.0
1605963293.4822,71.0,905.0
1605963294.4719,71.0,933.0
1605963295.6566,71.0,933.0
1605963296.4826,70.0,929.0
1605963297.4719,69.0,950.0
1605963298.462,69.0,881.0
1605963299.5162,69.0,859.0
1605963300.6104,69.0,829.0
1605963301.4621,70.0,825.0
1605963302.482,70.0,848.0
1605963303.5017,71.0,892.0
1605963304.5348,71.0,917.0
1605963305.482,70.0,913.0
1605963306.4719,70.0,891.0
1605963307.462,70.0,878.0
1605963308.5101,70.0,799.0
1605963309.614,71.0,780.0
1605963310.4618,72.0,745.0
1605963311.5116,73.0,770.0
1605963312.4975,74.0,818.0
1605963313.5146,74.0,828.0
1605963314.6131,74.0,818.0
1605963315.4717,74.0,834.0
1605963316.4616,74.0,822.0
1605963317.4818,74.0,795.0
1605963318.6197,75.0,786.0
1605963319.4614,75.0,833.0
1605963320.4816,75.0,867.0
1605963321.4716,75.0,900.0
1605963322.507,74.0,953.0
1605963323.6286,74.0,978.0
1605963324.4715,73.0,981.0
1605963325.4615,72.0,949.0
1605963326.4815,71.0,935.0
1605963327.5477,70.0,907.0
1605963328.4626,70.0,870.0
1605963329.4819,70.0,878.0
1605963330.4718,70.0,904.0
1605963331.4615,70.0,966.0
1605963332.6524,69.0,963.0
1605963333.4714,69.0,960.0
1605963334.4914,68.0,974.0
1605963335.4513,68.0,922.0
1605963336.5502,68.0,895.0
1605963337.4618,68.0,863.0
1605963338.4515,68.0,808.0
1605963339.5014,69.0,800.0
1605963340.4612,70.0,819.0
1605963341.5603,70.0,873.0
1605963342.4722,70.0,867.0
1605963343.4638,70.0,876.0
1605963344.4512,70.0,887.0
1605963345.515,70.0,870.0
1605963346.6271,70.0,857.0
1605963347.4512,71.0,879.0
1605963348.4712,71.0,893.0
1605963349.4815,70.0,900.0
1605963350.5823,70.0,905.0
1605963351.4711,70.0,913.0
1605963352.4612,70.0,903.0
1605963353.4512,69.0,866.0
1605963354.4711,70.0,859.0
1605963355.6241,70.0,854.0
1605963356.4511,70.0,836.0
1605963357.5012,70.0,841.0
1605963358.461,71.0,858.0
1605963359.5486,71.0,860.0
1605963360.4712,71.0,860.0
1605963361.4621,71.0,871.0
1605963362.481,71.0,868.0
1605963363.471,71.0,829.0
1605963364.5744,71.0,822.0
1605963365.4512,71.0,810.0
1605963366.4712,72.0,800.0
1605963367.4608,73.0,817.0
1605963368.4623,73.0,847.0
1605963369.4709,73.0,850.0
1605963370.461,73.0,838.0
1605963371.4512,73.0,870.0
1605963372.494,73.0,867.0
1605963373.5763,72.0,855.0
1605963375.4394,72.0,827.0
1605963375.7403,73.0,806.0
1605963376.459,73.0,743.0
