Time,HR,RR
1605963122.4887,74,831
1605963123.4730,75,795
1605963124.4919,76,388
1605963125.5730,77,362
1605963126.4730,78,864
1605963127.4630,78,951
1605963128.4828,77,1015
1605963129.5026,76,963
1605963130.4629,75,966
1605963131.4828,72,930
1605963132.4728,71,870
1605963133.4627,71,832
1605963134.5646,72,803
1605963135.4730,72,776
1605963136.4627,73,786
1605963137.4827,73,788
1605963138.4727,74,798
1605963139.5821,74,841
1605963140.4827,74,848
1605963141.4727,74,834
1605963142.4626,74,829
1605963143.5424,74,806
1605963144.4727,74,785
1605963145.4625,75,780
1605963146.5126,75,783
1605963147.4725,76,769
1605963148.5791,76,756
1605963149.4826,77,766
1605963150.4724,77,819
1605963151.4624,77,810
1605963152.5070,77,846
1605963153.4728,77,877
1605963154.4625,75,880
1605963155.4824,75,858
1605963156.4723,74,837
1605963157.5723,74,825
1605963158.4827,74,810
1605963159.4724,75,804
1605963160.4622,75,834
1605963161.4823,75,839
1605963162.5811,75,819
1605963163.4624,74,855
1605963164.4823,74,875
1605963165.4723,74,894
1605963166.5122,73,920
1605963167.4823,73,930
1605963168.4723,72,892
1605963169.4622,71,878
1605963170.4821,71,818
1605963171.5820,72,786
1605963172.4623,72,795
1605963173.4821,73,814
1605963174.4721,73,868
1605963175.4920,73,870
1605963176.5917,73,894
1605963177.5322,72,901
1605963178.4620,72,906
1605963179.5120,72,896
1605963183.8100,71,896
1605963183.8154,71,878
1605963183.8210,71,866
1605963183.8263,71,863
1605963184.9717,71,872
1605963185.7356,71,891
1605963186.4742,70,868
1605963187.4788,70,852
1605963188.4919,70,830
1605963189.5903,71,790
1605963190.4641,72,812
1605963191.6745,72,787
1605963192.4893,73,803
1605963193.4635,74,818
1605963194.6200,74,850
1605963195.4739,73,835
1605963196.4633,73,838
1605963197.4834,73,860
1605963198.5472,73,865
1605963199.4635,73,858
1605963200.4836,73,866
1605963201.4735,73,865
1605963202.4934,73,858
1605963203.5623,72,867
1605963204.4735,72,882
1605963205.4637,72,867
1605963206.4835,72,862
1605963207.5157,72,854
1605963208.6274,72,860
1605963209.4868,72,795
1605963210.4734,72,789
1605963211.4636,73,827
1605963212.5554,73,866
1605963213.4734,73,857
1605963214.4646,73,818
1605963215.4832,73,835
1605963216.4733,73,840
1605963217.6276,73,797
1605963218.4833,74,796
